Symbol, Date, Open, High, Low, Close, Volume 
WMB, 10/30/2015, 38.04, 39.97, 38.04, 39.46, -1 
WMB, 11/02/2015, 39.06, 40.31, 39.05, 39.55, -1 
WMB, 11/03/2015, 39.56, 40.76, 39.53, 40.27, -1 
WMB, 11/04/2015, 40.18, 40.29, 38.36, 38.93, -1 
WMB, 11/05/2015, 37.76, 39.0, 37.23, 38.27, -1 
WMB, 11/06/2015, 37.09, 38.1, 37.09, 37.98, -1 
WMB, 11/09/2015, 36.84, 38.29, 36.84, 36.92, -1 
WMB, 11/10/2015, 36.69, 37.14, 36.18, 36.8, -1 
WMB, 11/11/2015, 36.66, 36.84, 35.58, 36.33, -1 
WMB, 11/12/2015, 35.74, 35.95, 34.84, 35.1, -1 
WMB, 11/13/2015, 34.82, 35.46, 33.48, 35.09, -1 
WMB, 11/16/2015, 33.99, 37.41, 33.99, 37.29, -1 
WMB, 11/17/2015, 36.23, 38.23, 36.23, 37.55, -1 
WMB, 11/18/2015, 37.56, 38.42, 37.4, 38.1, -1 
WMB, 11/19/2015, 36.96, 38.31, 36.96, 37.71, -1 
WMB, 11/20/2015, 36.54, 38.09, 36.54, 36.82, -1 
WMB, 11/23/2015, 36.57, 37.54, 36.43, 36.64, -1 
WMB, 11/24/2015, 36.7, 37.59, 36.65, 37.12, -1 
WMB, 11/25/2015, 36.79, 37.19, 36.06, 36.45, -1 
WMB, 11/27/2015, 35.9, 36.37, 35.85, 36.15, -1 
WMB, 11/30/2015, 36.1, 36.64, 35.9, 36.55, -1 
WMB, 12/01/2015, 36.44, 36.96, 36.11, 36.64, -1 
WMB, 12/02/2015, 36.25, 36.35, 34.81, 35.42, -1 
WMB, 12/03/2015, 35.4, 35.59, 33.13, 33.26, -1 
WMB, 12/04/2015, 32.74, 33.05, 30.76, 31.07, -1 
WMB, 12/07/2015, 29.51, 29.64, 25.61, 26.96, -1 
WMB, 12/08/2015, 26.0, 28.43, 25.52, 27.24, -1 
WMB, 12/09/2015, 26.71, 29.15, 26.7, 28.97, -1 
WMB, 12/10/2015, 28.33, 29.93, 28.33, 29.69, -1 
WMB, 12/11/2015, 28.41, 28.99, 26.24, 26.41, -1 
WMB, 12/14/2015, 26.23, 26.29, 25.08, 25.56, -1 
WMB, 12/15/2015, 25.75, 26.61, 25.69, 25.83, -1 
WMB, 12/16/2015, 25.36, 26.02, 25.36, 25.8, -1 
WMB, 12/17/2015, 25.69, 25.93, 23.57, 23.69, -1 
WMB, 12/18/2015, 23.92, 24.16, 21.5, 21.52, -1 
WMB, 12/21/2015, 21.64, 22.08, 20.94, 22.0, -1 
WMB, 12/22/2015, 21.8, 23.39, 21.8, 22.59, -1 
WMB, 12/23/2015, 22.94, 25.43, 22.94, 25.33, -1 
WMB, 12/24/2015, 25.29, 25.79, 24.75, 24.87, -1 
WMB, 12/28/2015, 24.28, 25.01, 23.97, 24.81, -1 
WMB, 12/29/2015, 25.02, 25.71, 24.4, 24.86, -1 
WMB, 12/30/2015, 24.26, 24.88, 23.83, 24.4, -1 
WMB, 12/31/2015, 23.55, 25.81, 23.55, 25.68, -1 
WMB, 01/04/2016, 24.9, 26.58, 24.9, 26.22, -1 
WMB, 01/05/2016, 26.31, 26.67, 25.9, 26.36, -1 
WMB, 01/06/2016, 25.38, 25.72, 22.9, 22.97, -1 
WMB, 01/07/2016, 22.18, 22.79, 20.6, 20.6, -1 
WMB, 01/08/2016, 20.9, 21.21, 19.46, 20.3, -1 
WMB, 01/11/2016, 20.13, 20.39, 18.31, 18.68, -1 
WMB, 01/12/2016, 18.78, 19.21, 15.19, 16.53, -1 
WMB, 01/13/2016, 16.47, 16.52, 12.76, 13.6, -1 
WMB, 01/14/2016, 13.35, 18.43, 13.24, 18.3, -1 
WMB, 01/15/2016, 15.61, 17.99, 15.61, 16.09, -1 
WMB, 01/19/2016, 16.56, 17.64, 15.41, 15.77, -1 
WMB, 01/20/2016, 15.1, 15.7, 14.12, 15.54, -1 
