Symbol, Date, Open, High, Low, Close, Volume 
WRK, 10/30/2015, 44.42, 49.12, 44.04, 48.5, -1 
WRK, 11/02/2015, 46.02, 49.29, 45.98, 48.78, -1 
WRK, 11/03/2015, 46.02, 48.53, 46.01, 48.0, -1 
WRK, 11/04/2015, 43.72, 48.63, 43.23, 48.07, -1 
WRK, 11/05/2015, 40.93, 46.99, 40.93, 46.37, -1 
WRK, 11/06/2015, 45.46, 48.42, 45.46, 48.38, -1 
WRK, 11/09/2015, 45.56, 48.35, 45.11, 46.81, -1 
WRK, 11/10/2015, 41.97, 46.9, 41.97, 46.31, -1 
WRK, 11/11/2015, 43.93, 46.85, 43.92, 46.52, -1 
WRK, 11/12/2015, 43.93, 45.84, 43.92, 44.44, -1 
WRK, 11/13/2015, 39.33, 45.08, 39.33, 43.8, -1 
WRK, 11/16/2015, 39.51, 43.93, 39.51, 43.24, -1 
WRK, 11/17/2015, 40.59, 44.22, 40.58, 43.04, -1 
WRK, 11/18/2015, 39.28, 44.75, 39.27, 44.7, -1 
WRK, 11/19/2015, 39.46, 45.54, 39.46, 45.25, -1 
WRK, 11/20/2015, 45.07, 45.58, 44.95, 45.2, -1 
WRK, 11/23/2015, 40.6, 45.88, 40.6, 45.47, -1 
WRK, 11/24/2015, 40.6, 46.45, 40.6, 45.54, -1 
WRK, 11/25/2015, 40.96, 46.01, 40.96, 45.36, -1 
WRK, 11/27/2015, 40.75, 45.7, 40.75, 45.48, -1 
WRK, 11/30/2015, 40.26, 46.71, 40.26, 45.68, -1 
WRK, 12/01/2015, 40.26, 46.55, 40.26, 46.0, -1 
WRK, 12/02/2015, 41.32, 46.51, 41.32, 45.45, -1 
WRK, 12/03/2015, 40.26, 46.18, 40.26, 45.6, -1 
WRK, 12/04/2015, 39.86, 45.79, 39.86, 45.48, -1 
WRK, 12/07/2015, 40.16, 45.24, 40.16, 44.16, -1 
WRK, 12/08/2015, 38.51, 44.34, 38.1, 43.3, -1 
WRK, 12/09/2015, 39.33, 44.02, 39.32, 43.32, -1 
WRK, 12/10/2015, 39.28, 43.55, 39.08, 42.32, -1 
WRK, 12/11/2015, 41.67, 42.3, 41.14, 41.26, -1 
WRK, 12/14/2015, 41.13, 41.41, 39.58, 39.83, -1 
WRK, 12/15/2015, 40.18, 41.05, 39.28, 39.32, -1 
WRK, 12/16/2015, 39.28, 40.59, 38.56, 40.51, -1 
WRK, 12/17/2015, 40.35, 40.83, 40.06, 40.48, -1 
WRK, 12/18/2015, 40.18, 40.93, 39.72, 39.74, -1 
WRK, 12/21/2015, 39.88, 40.45, 39.66, 40.1, -1 
WRK, 12/22/2015, 40.11, 40.27, 39.07, 39.73, -1 
WRK, 12/23/2015, 39.68, 41.15, 39.68, 41.04, -1 
WRK, 12/24/2015, 40.73, 41.44, 40.73, 41.04, -1 
WRK, 12/28/2015, 40.71, 41.17, 40.5, 41.17, -1 
WRK, 12/29/2015, 41.17, 41.75, 41.17, 41.37, -1 
WRK, 12/30/2015, 41.08, 41.56, 41.06, 41.28, -1 
WRK, 12/31/2015, 40.96, 41.81, 40.92, 41.15, -1 
WRK, 01/04/2016, 40.26, 41.06, 40.04, 41.05, -1 
WRK, 01/05/2016, 40.98, 41.22, 40.79, 41.03, -1 
WRK, 01/06/2016, 40.33, 40.49, 39.69, 39.9, -1 
WRK, 01/07/2016, 39.05, 40.21, 38.89, 39.48, -1 
WRK, 01/08/2016, 38.91, 39.39, 37.65, 37.8, -1 
WRK, 01/11/2016, 37.79, 38.05, 35.53, 35.85, -1 
WRK, 01/12/2016, 35.99, 36.25, 34.19, 34.59, -1 
WRK, 01/13/2016, 31.23, 36.04, 31.22, 34.22, -1 
WRK, 01/14/2016, 34.27, 35.11, 33.75, 34.72, -1 
WRK, 01/15/2016, 33.88, 34.39, 33.28, 33.4, -1 
WRK, 01/19/2016, 33.73, 33.9, 32.65, 32.88, -1 
WRK, 01/20/2016, 32.21, 33.17, 31.13, 32.52, -1 
WRK, 01/21/2016, 32.45, 33.68, 32.26, 32.82, -1 
WRK, 01/22/2016, 33.29, 34.38, 33.28, 34.04, -1 
WRK, 01/25/2016, 30.76, 30.77, 28.44, 28.95, -1 
WRK, 01/26/2016, 29.22, 29.66, 28.74, 28.92, -1 
WRK, 01/27/2016, 28.56, 30.4, 28.56, 29.41, -1 
WRK, 01/28/2016, 29.5, 30.04, 28.52, 28.55, -1 
WRK, 01/29/2016, 28.99, 31.92, 28.59, 31.81, -1 
WRK, 02/01/2016, 31.26, 31.8, 30.13, 31.56, -1 
WRK, 02/02/2016, 30.76, 31.02, 30.05, 30.06, -1 
WRK, 02/03/2016, 30.19, 30.93, 29.66, 30.04, -1 
WRK, 02/04/2016, 29.8, 31.16, 29.8, 31.06, -1 
WRK, 02/05/2016, 30.81, 31.42, 30.04, 30.13, -1 
WRK, 02/08/2016, 29.51, 30.05, 28.67, 29.04, -1 
WRK, 02/09/2016, 28.5, 29.68, 28.47, 29.48, -1 
WRK, 02/10/2016, 27.84, 29.9, 27.81, 28.26, -1 
WRK, 02/11/2016, 27.5, 28.22, 26.8, 26.99, -1 
WRK, 02/12/2016, 27.16, 28.03, 27.13, 28.0, -1 
WRK, 02/16/2016, 28.28, 28.53, 27.66, 28.41, -1 
WRK, 02/17/2016, 28.66, 29.87, 28.59, 29.51, -1 
WRK, 02/18/2016, 29.23, 29.91, 28.86, 29.52, -1 
WRK, 02/19/2016, 27.45, 29.14, 26.37, 28.46, -1 
WRK, 02/22/2016, 28.61, 29.49, 28.61, 29.18, -1 
WRK, 02/23/2016, 28.77, 29.47, 28.77, 29.39, -1 
WRK, 02/24/2016, 28.88, 29.42, 28.53, 29.13, -1 
WRK, 02/25/2016, 27.1, 29.61, 27.07, 29.24, -1 
WRK, 02/26/2016, 27.1, 30.75, 27.07, 30.27, -1 
WRK, 02/29/2016, 29.38, 31.74, 29.38, 30.44, -1 
WRK, 03/01/2016, 30.51, 31.94, 30.51, 31.91, -1 
WRK, 03/02/2016, 31.59, 33.35, 31.58, 33.26, -1 
WRK, 03/03/2016, 33.08, 34.12, 33.07, 34.0, -1 
