Symbol, Date, Open, High, Low, Close, Volume 
WY, 10/30/2015, 28.57, 29.64, 28.57, 29.34, -1 
WY, 11/02/2015, 29.77, 30.75, 29.44, 30.74, -1 
WY, 11/03/2015, 30.58, 31.49, 30.49, 31.06, -1 
WY, 11/04/2015, 31.11, 31.15, 30.8, 30.92, -1 
WY, 11/05/2015, 30.87, 31.23, 30.76, 31.08, -1 
WY, 11/06/2015, 30.55, 30.89, 30.33, 30.46, -1 
WY, 11/09/2015, 28.76, 29.86, 28.72, 29.5, -1 
WY, 11/10/2015, 29.19, 29.54, 29.19, 29.24, -1 
WY, 11/11/2015, 29.1, 29.94, 29.09, 29.81, -1 
WY, 11/12/2015, 29.54, 29.73, 29.39, 29.39, -1 
WY, 11/13/2015, 29.56, 29.7, 29.12, 29.26, -1 
WY, 11/16/2015, 29.27, 30.23, 29.23, 30.12, -1 
WY, 11/17/2015, 29.26, 31.11, 29.26, 30.75, -1 
WY, 11/18/2015, 30.05, 31.93, 30.05, 31.93, -1 
WY, 11/19/2015, 31.93, 32.1, 31.71, 31.94, -1 
WY, 11/20/2015, 31.15, 32.29, 31.15, 32.18, -1 
WY, 11/23/2015, 32.01, 32.29, 31.82, 31.96, -1 
WY, 11/24/2015, 31.69, 32.18, 31.58, 32.18, -1 
WY, 11/25/2015, 32.01, 32.32, 32.01, 32.28, -1 
WY, 11/27/2015, 32.16, 32.54, 32.16, 32.36, -1 
WY, 11/30/2015, 32.28, 32.49, 32.08, 32.18, -1 
WY, 12/01/2015, 32.16, 32.71, 31.99, 32.11, -1 
WY, 12/02/2015, 31.93, 32.17, 31.69, 31.77, -1 
WY, 12/03/2015, 31.58, 31.77, 31.2, 31.46, -1 
WY, 12/04/2015, 31.46, 32.14, 31.46, 32.03, -1 
WY, 12/07/2015, 31.88, 31.95, 31.56, 31.75, -1 
WY, 12/08/2015, 31.35, 31.76, 31.35, 31.56, -1 
WY, 12/09/2015, 31.43, 31.79, 31.09, 31.19, -1 
WY, 12/10/2015, 30.99, 31.27, 30.82, 30.93, -1 
WY, 12/11/2015, 30.59, 30.91, 30.32, 30.49, -1 
WY, 12/14/2015, 30.39, 30.61, 29.85, 30.01, -1 
WY, 12/15/2015, 30.07, 30.3, 29.91, 30.09, -1 
WY, 12/16/2015, 30.03, 30.94, 30.03, 30.86, -1 
WY, 12/17/2015, 30.77, 31.0, 30.38, 30.64, -1 
WY, 12/18/2015, 30.24, 30.38, 29.51, 29.51, -1 
WY, 12/21/2015, 29.56, 29.81, 29.26, 29.7, -1 
WY, 12/22/2015, 29.66, 30.31, 29.63, 30.14, -1 
WY, 12/23/2015, 30.08, 30.67, 30.08, 30.62, -1 
WY, 12/24/2015, 30.46, 30.86, 30.46, 30.72, -1 
WY, 12/28/2015, 30.04, 30.68, 30.04, 30.57, -1 
WY, 12/29/2015, 30.04, 30.92, 30.04, 30.6, -1 
WY, 12/30/2015, 30.42, 30.72, 30.32, 30.32, -1 
WY, 12/31/2015, 30.15, 30.33, 29.84, 29.97, -1 
WY, 01/04/2016, 29.47, 29.85, 29.44, 29.84, -1 
WY, 01/05/2016, 29.71, 30.02, 29.62, 29.88, -1 
WY, 01/06/2016, 29.56, 29.6, 29.12, 29.25, -1 
WY, 01/07/2016, 28.85, 28.9, 28.1, 28.16, -1 
WY, 01/08/2016, 28.19, 28.38, 27.84, 27.89, -1 
WY, 01/11/2016, 27.85, 28.13, 27.51, 27.61, -1 
WY, 01/12/2016, 27.79, 27.94, 26.7, 27.02, -1 
WY, 01/13/2016, 26.93, 27.65, 26.71, 26.75, -1 
WY, 01/14/2016, 26.65, 26.88, 26.36, 26.4, -1 
WY, 01/15/2016, 25.91, 26.16, 25.53, 25.82, -1 
WY, 01/19/2016, 25.93, 26.24, 25.28, 25.46, -1 
WY, 01/20/2016, 25.04, 25.28, 23.73, 24.6, -1 
WY, 01/21/2016, 24.04, 25.45, 24.04, 25.0, -1 
WY, 01/22/2016, 25.19, 25.63, 24.99, 25.42, -1 
WY, 01/25/2016, 25.13, 25.38, 24.45, 24.51, -1 
WY, 01/26/2016, 24.5, 24.97, 24.5, 24.74, -1 
WY, 01/27/2016, 24.53, 24.9, 24.34, 24.51, -1 
WY, 01/28/2016, 24.58, 24.89, 24.26, 24.42, -1 
WY, 01/29/2016, 24.53, 25.61, 24.53, 25.59, -1 
WY, 02/01/2016, 25.44, 26.21, 25.13, 26.09, -1 
WY, 02/02/2016, 25.68, 25.88, 25.3, 25.33, -1 
WY, 02/03/2016, 25.32, 25.67, 24.75, 25.46, -1 
WY, 02/04/2016, 25.25, 26.03, 25.25, 25.75, -1 
WY, 02/05/2016, 24.77, 25.63, 23.9, 23.99, -1 
WY, 02/08/2016, 23.69, 23.86, 22.93, 23.4, -1 
WY, 02/09/2016, 23.12, 23.52, 22.66, 23.08, -1 
WY, 02/10/2016, 23.1, 23.46, 22.62, 22.67, -1 
WY, 02/11/2016, 22.22, 22.53, 22.05, 22.21, -1 
WY, 02/12/2016, 22.29, 22.74, 22.29, 22.59, -1 
WY, 02/16/2016, 22.71, 23.99, 22.71, 23.76, -1 
WY, 02/17/2016, 23.62, 24.43, 23.62, 24.17, -1 
WY, 02/18/2016, 24.12, 24.23, 23.53, 23.83, -1 
WY, 02/19/2016, 23.56, 23.7, 22.66, 22.83, -1 
WY, 02/22/2016, 23.0, 23.66, 23.0, 23.57, -1 
WY, 02/23/2016, 23.46, 24.58, 23.29, 24.24, -1 
WY, 02/24/2016, 23.54, 25.36, 23.54, 25.0, -1 
WY, 02/25/2016, 24.97, 25.42, 24.7, 25.33, -1 
WY, 02/26/2016, 25.43, 25.99, 25.24, 25.57, -1 
WY, 02/29/2016, 25.48, 26.42, 25.48, 25.98, -1 
WY, 03/01/2016, 26.05, 26.74, 26.05, 26.64, -1 
WY, 03/02/2016, 26.44, 27.08, 26.44, 27.06, -1 
WY, 03/03/2016, 27.17, 27.39, 27.01, 27.25, -1 
WY, 03/04/2016, 26.73, 27.91, 26.73, 27.43, -1 
WY, 03/07/2016, 27.14, 27.71, 27.14, 27.62, -1 
WY, 03/08/2016, 26.79, 27.82, 26.79, 27.49, -1 
WY, 03/09/2016, 27.72, 27.8, 27.35, 27.56, -1 
WY, 03/10/2016, 27.5, 28.09, 27.5, 28.06, -1 
WY, 03/11/2016, 28.17, 28.79, 28.17, 28.71, -1 
WY, 03/14/2016, 28.38, 29.22, 28.38, 29.08, -1 
WY, 03/15/2016, 28.83, 29.37, 28.68, 29.32, -1 
WY, 03/16/2016, 29.15, 29.62, 29.05, 29.45, -1 
WY, 03/17/2016, 29.29, 30.48, 29.29, 30.07, -1 
WY, 03/18/2016, 29.99, 30.32, 29.86, 30.08, -1 
WY, 03/21/2016, 29.81, 30.54, 29.79, 30.27, -1 
WY, 03/22/2016, 30.0, 30.82, 30.0, 30.58, -1 
WY, 03/23/2016, 30.31, 30.72, 30.24, 30.24, -1 
WY, 03/24/2016, 30.08, 30.38, 29.83, 30.33, -1 
WY, 03/28/2016, 30.34, 30.8, 30.25, 30.62, -1 
WY, 03/29/2016, 30.44, 31.15, 30.35, 31.03, -1 
WY, 03/30/2016, 30.99, 31.38, 30.93, 31.03, -1 
WY, 03/31/2016, 30.74, 31.32, 30.74, 30.98, -1 
WY, 04/01/2016, 30.54, 31.28, 30.54, 31.15, -1 
WY, 04/04/2016, 31.1, 31.45, 30.94, 31.19, -1 
WY, 04/05/2016, 30.78, 31.06, 30.71, 30.78, -1 
WY, 04/06/2016, 30.53, 30.99, 30.2, 30.78, -1 
WY, 04/07/2016, 30.44, 31.03, 30.44, 30.79, -1 
WY, 04/08/2016, 30.51, 31.39, 30.51, 31.24, -1 
WY, 04/11/2016, 31.24, 31.69, 31.24, 31.31, -1 
WY, 04/12/2016, 31.01, 31.73, 31.01, 31.44, -1 
WY, 04/13/2016, 31.24, 31.91, 31.24, 31.77, -1 
WY, 04/14/2016, 31.73, 31.89, 31.5, 31.7, -1 
WY, 04/15/2016, 31.52, 31.81, 31.52, 31.71, -1 
WY, 04/18/2016, 31.47, 31.99, 31.47, 31.97, -1 
WY, 04/19/2016, 31.78, 32.2, 31.67, 31.98, -1 
WY, 04/20/2016, 31.97, 32.17, 31.91, 31.92, -1 
WY, 04/21/2016, 31.74, 32.16, 31.74, 31.83, -1 
WY, 04/22/2016, 31.65, 32.35, 31.65, 32.26, -1 
WY, 04/25/2016, 31.91, 32.35, 31.88, 31.88, -1 
WY, 04/26/2016, 31.75, 32.28, 31.75, 32.23, -1 
WY, 04/27/2016, 32.18, 32.48, 32.02, 32.32, -1 
WY, 04/28/2016, 32.44, 32.49, 31.9, 32.01, -1 
WY, 04/29/2016, 31.71, 32.18, 31.71, 32.13, -1 
WY, 05/02/2016, 32.26, 32.43, 32.01, 32.29, -1 
WY, 05/03/2016, 31.58, 31.82, 31.34, 31.58, -1 
WY, 05/04/2016, 31.22, 31.66, 31.22, 31.44, -1 
WY, 05/05/2016, 31.32, 31.89, 31.32, 31.54, -1 
WY, 05/06/2016, 31.03, 31.83, 30.54, 31.61, -1 
WY, 05/09/2016, 31.01, 31.42, 30.67, 30.94, -1 
WY, 05/10/2016, 30.99, 31.22, 30.79, 31.08, -1 
WY, 05/11/2016, 30.61, 31.31, 30.61, 30.98, -1 
WY, 05/12/2016, 30.89, 31.37, 30.89, 31.22, -1 
WY, 05/13/2016, 30.94, 31.49, 30.81, 30.86, -1 
WY, 05/16/2016, 30.73, 31.16, 30.73, 30.96, -1 
WY, 05/17/2016, 30.82, 31.08, 30.52, 30.68, -1 
WY, 05/18/2016, 30.42, 30.97, 30.22, 30.45, -1 
WY, 05/19/2016, 30.05, 30.38, 29.99, 30.31, -1 
WY, 05/20/2016, 30.03, 30.63, 30.03, 30.42, -1 
WY, 05/23/2016, 30.14, 31.05, 30.14, 30.87, -1 
WY, 05/24/2016, 30.14, 31.26, 30.14, 31.13, -1 
WY, 05/25/2016, 30.96, 31.63, 30.96, 31.45, -1 
WY, 05/26/2016, 31.2, 31.55, 31.18, 31.26, -1 
WY, 05/27/2016, 31.12, 31.64, 31.12, 31.46, -1 
WY, 05/31/2016, 31.49, 31.72, 31.38, 31.51, -1 
WY, 06/01/2016, 31.23, 31.51, 31.13, 31.31, -1 
WY, 06/02/2016, 31.11, 31.36, 31.11, 31.33, -1 
WY, 06/03/2016, 31.16, 31.57, 31.04, 31.12, -1 
WY, 06/06/2016, 31.04, 31.38, 31.04, 31.13, -1 
WY, 06/07/2016, 31.02, 31.3, 31.02, 31.18, -1 
WY, 06/08/2016, 30.54, 31.13, 30.54, 30.87, -1 
WY, 06/09/2016, 30.41, 30.78, 30.01, 30.38, -1 
WY, 06/10/2016, 30.08, 30.65, 30.02, 30.59, -1 
WY, 06/13/2016, 30.37, 30.69, 29.7, 29.71, -1 
WY, 06/14/2016, 29.17, 29.65, 28.58, 28.75, -1 
WY, 06/15/2016, 28.55, 29.0, 28.55, 28.71, -1 
WY, 06/16/2016, 28.42, 28.74, 28.08, 28.72, -1 
WY, 06/17/2016, 28.54, 28.85, 28.5, 28.69, -1 
WY, 06/20/2016, 28.92, 29.24, 28.87, 29.01, -1 
WY, 06/21/2016, 29.07, 29.23, 28.54, 28.57, -1 
WY, 06/22/2016, 28.45, 28.88, 28.29, 28.61, -1 
WY, 06/23/2016, 28.66, 29.51, 28.64, 29.5, -1 
WY, 06/24/2016, 28.36, 28.9, 27.71, 27.73, -1 
WY, 06/27/2016, 27.47, 27.52, 26.55, 26.76, -1 
WY, 06/28/2016, 27.03, 27.87, 26.96, 27.87, -1 
WY, 06/29/2016, 28.26, 29.4, 28.26, 29.23, -1 
WY, 06/30/2016, 29.23, 30.02, 29.23, 29.74, -1 
WY, 07/01/2016, 29.59, 30.19, 29.59, 30.12, -1 
WY, 07/05/2016, 29.82, 30.06, 29.54, 29.69, -1 
WY, 07/06/2016, 29.36, 30.14, 29.36, 30.1, -1 
WY, 07/07/2016, 29.88, 30.43, 29.88, 30.14, -1 
WY, 07/08/2016, 30.01, 30.88, 30.01, 30.66, -1 
WY, 07/11/2016, 30.46, 31.37, 30.46, 31.23, -1 
WY, 07/12/2016, 30.98, 32.09, 30.98, 31.85, -1 
WY, 07/13/2016, 31.65, 32.08, 31.65, 31.97, -1 
WY, 07/14/2016, 31.71, 32.26, 31.71, 32.03, -1 
WY, 07/15/2016, 28.21, 32.24, 28.21, 32.02, -1 
WY, 07/18/2016, 31.81, 32.29, 31.81, 32.24, -1 
WY, 07/19/2016, 31.8, 32.21, 31.8, 31.97, -1 
WY, 07/20/2016, 31.83, 32.34, 31.83, 32.3, -1 
