Symbol, Date, Open, High, Low, Close, Volume 
XEL, 10/30/2015, 35.07, 35.96, 35.07, 35.63, -1 
XEL, 11/02/2015, 35.57, 35.94, 35.39, 35.83, -1 
XEL, 11/03/2015, 35.56, 36.01, 35.48, 35.9, -1 
XEL, 11/04/2015, 35.82, 36.31, 35.82, 36.03, -1 
XEL, 11/05/2015, 35.92, 36.3, 35.91, 36.11, -1 
XEL, 11/06/2015, 35.33, 35.4, 34.33, 34.87, -1 
XEL, 11/09/2015, 34.47, 35.07, 34.47, 35.0, -1 
XEL, 11/10/2015, 34.78, 35.59, 34.78, 35.59, -1 
XEL, 11/11/2015, 35.46, 36.16, 35.46, 36.06, -1 
XEL, 11/12/2015, 35.69, 36.31, 35.27, 35.3, -1 
XEL, 11/13/2015, 35.17, 35.64, 34.77, 34.99, -1 
XEL, 11/16/2015, 34.85, 35.58, 34.85, 35.58, -1 
XEL, 11/17/2015, 35.42, 35.79, 35.09, 35.21, -1 
XEL, 11/18/2015, 35.1, 35.67, 34.93, 35.61, -1 
XEL, 11/19/2015, 35.41, 35.9, 35.41, 35.71, -1 
XEL, 11/20/2015, 35.7, 36.16, 35.7, 35.86, -1 
XEL, 11/23/2015, 35.71, 36.02, 35.54, 35.57, -1 
XEL, 11/24/2015, 34.15, 35.78, 34.15, 35.72, -1 
XEL, 11/25/2015, 35.56, 35.73, 35.33, 35.5, -1 
XEL, 11/27/2015, 35.35, 35.82, 35.35, 35.63, -1 
XEL, 11/30/2015, 35.26, 35.92, 35.26, 35.67, -1 
XEL, 12/01/2015, 35.64, 36.0, 35.64, 35.98, -1 
XEL, 12/02/2015, 35.77, 35.92, 35.18, 35.22, -1 
XEL, 12/03/2015, 34.7, 35.05, 34.33, 34.41, -1 
XEL, 12/04/2015, 34.36, 35.11, 34.36, 34.93, -1 
XEL, 12/07/2015, 34.69, 35.28, 34.69, 35.26, -1 
XEL, 12/08/2015, 34.82, 35.41, 34.82, 35.22, -1 
XEL, 12/09/2015, 34.92, 35.52, 34.9, 35.29, -1 
XEL, 12/10/2015, 35.14, 35.21, 34.66, 34.78, -1 
XEL, 12/11/2015, 34.47, 35.13, 34.46, 34.93, -1 
XEL, 12/14/2015, 34.88, 35.34, 34.82, 35.3, -1 
XEL, 12/15/2015, 35.32, 35.78, 35.29, 35.58, -1 
XEL, 12/16/2015, 35.49, 36.49, 35.49, 36.42, -1 
XEL, 12/17/2015, 36.21, 36.71, 36.18, 36.4, -1 
XEL, 12/18/2015, 36.1, 36.27, 35.34, 35.6, -1 
XEL, 12/21/2015, 35.52, 35.9, 35.18, 35.4, -1 
XEL, 12/22/2015, 34.92, 35.47, 34.81, 35.32, -1 
XEL, 12/23/2015, 35.24, 35.92, 35.24, 35.85, -1 
XEL, 12/24/2015, 35.67, 35.88, 35.59, 35.72, -1 
XEL, 12/28/2015, 35.57, 36.18, 35.56, 36.14, -1 
XEL, 12/29/2015, 36.06, 36.47, 36.06, 36.22, -1 
XEL, 12/30/2015, 36.08, 36.5, 36.08, 36.4, -1 
