Symbol, Date, Open, High, Low, Close, Volume 
XLNX, 10/30/2015, 47.52, 48.38, 47.5, 47.61, -1 
XLNX, 11/02/2015, 47.5, 47.87, 47.5, 47.74, -1 
XLNX, 11/03/2015, 47.26, 47.79, 47.24, 47.27, -1 
XLNX, 11/04/2015, 46.88, 47.54, 46.88, 47.37, -1 
XLNX, 11/05/2015, 47.0, 47.63, 47.0, 47.2, -1 
XLNX, 11/06/2015, 46.31, 47.63, 46.31, 47.62, -1 
XLNX, 11/09/2015, 47.0, 47.6, 47.0, 47.36, -1 
XLNX, 11/10/2015, 47.07, 47.25, 46.81, 47.05, -1 
XLNX, 11/11/2015, 46.36, 47.5, 46.36, 47.07, -1 
XLNX, 11/12/2015, 46.32, 47.19, 46.31, 46.66, -1 
XLNX, 11/13/2015, 46.43, 46.94, 46.24, 46.54, -1 
XLNX, 11/16/2015, 46.67, 47.12, 46.5, 47.08, -1 
XLNX, 11/17/2015, 47.01, 48.03, 47.01, 47.85, -1 
XLNX, 11/18/2015, 47.5, 48.81, 47.5, 48.69, -1 
XLNX, 11/19/2015, 48.01, 49.06, 48.01, 48.91, -1 
XLNX, 11/20/2015, 49.0, 49.13, 48.72, 48.94, -1 
XLNX, 11/23/2015, 48.01, 48.91, 48.01, 48.6, -1 
XLNX, 11/24/2015, 48.22, 49.36, 48.21, 49.23, -1 
XLNX, 11/25/2015, 49.06, 49.27, 48.72, 49.01, -1 
XLNX, 11/27/2015, 48.5, 49.29, 48.5, 49.23, -1 
XLNX, 11/30/2015, 49.1, 49.87, 49.1, 49.69, -1 
XLNX, 12/01/2015, 49.2, 50.46, 49.2, 50.23, -1 
XLNX, 12/02/2015, 49.71, 50.7, 48.97, 48.99, -1 
XLNX, 12/03/2015, 48.66, 49.51, 48.16, 48.46, -1 
XLNX, 12/04/2015, 48.55, 49.14, 48.38, 48.97, -1 
XLNX, 12/07/2015, 48.39, 48.93, 48.32, 48.53, -1 
XLNX, 12/08/2015, 47.75, 48.58, 47.75, 48.34, -1 
XLNX, 12/09/2015, 48.0, 48.35, 47.49, 47.86, -1 
XLNX, 12/10/2015, 47.55, 48.24, 47.55, 47.95, -1 
XLNX, 12/11/2015, 47.26, 47.78, 47.26, 47.35, -1 
XLNX, 12/14/2015, 47.06, 47.62, 46.8, 47.3, -1 
XLNX, 12/15/2015, 46.89, 48.12, 46.89, 47.94, -1 
XLNX, 12/16/2015, 45.12, 48.33, 45.12, 47.96, -1 
XLNX, 12/17/2015, 44.03, 48.05, 44.02, 47.09, -1 
XLNX, 12/18/2015, 46.39, 47.0, 46.39, 46.52, -1 
XLNX, 12/21/2015, 46.38, 47.33, 46.38, 47.3, -1 
XLNX, 12/22/2015, 47.46, 47.76, 47.05, 47.43, -1 
XLNX, 12/23/2015, 47.64, 48.0, 47.45, 47.88, -1 
XLNX, 12/24/2015, 43.87, 48.18, 43.87, 47.82, -1 
XLNX, 12/28/2015, 47.72, 47.79, 47.27, 47.79, -1 
XLNX, 12/29/2015, 47.01, 48.52, 47.01, 48.17, -1 
XLNX, 12/30/2015, 47.4, 48.23, 47.4, 47.84, -1 
XLNX, 12/31/2015, 47.76, 47.84, 46.97, 46.97, -1 
XLNX, 01/04/2016, 45.44, 46.07, 45.36, 45.78, -1 
XLNX, 01/05/2016, 44.79, 46.76, 44.79, 46.48, -1 
XLNX, 01/06/2016, 44.77, 45.98, 44.77, 45.63, -1 
XLNX, 01/07/2016, 44.31, 45.32, 43.74, 43.81, -1 
XLNX, 01/08/2016, 43.49, 44.11, 42.84, 42.92, -1 
XLNX, 01/11/2016, 43.38, 43.5, 42.76, 43.12, -1 
XLNX, 01/12/2016, 42.92, 43.48, 42.76, 43.34, -1 
XLNX, 01/13/2016, 43.01, 43.69, 41.84, 41.9, -1 
XLNX, 01/14/2016, 42.12, 42.55, 41.52, 42.4, -1 
XLNX, 01/15/2016, 40.93, 42.95, 40.42, 42.8, -1 
XLNX, 01/19/2016, 42.67, 43.49, 42.08, 42.78, -1 
XLNX, 01/20/2016, 42.58, 43.59, 41.69, 43.08, -1 
XLNX, 01/21/2016, 46.83, 48.28, 45.96, 46.78, -1 
XLNX, 01/22/2016, 46.96, 47.79, 46.96, 47.71, -1 
XLNX, 01/25/2016, 47.31, 48.3, 47.31, 47.5, -1 
XLNX, 01/26/2016, 46.75, 48.39, 46.75, 48.37, -1 
XLNX, 01/27/2016, 47.77, 49.14, 47.77, 48.14, -1 
XLNX, 01/28/2016, 47.0, 48.38, 47.0, 47.99, -1 
XLNX, 01/29/2016, 48.19, 50.29, 48.19, 50.27, -1 
XLNX, 02/01/2016, 49.75, 50.25, 49.39, 49.9, -1 
XLNX, 02/02/2016, 49.12, 49.59, 48.23, 48.49, -1 
XLNX, 02/03/2016, 48.01, 48.87, 47.15, 48.53, -1 
XLNX, 02/04/2016, 48.68, 49.49, 48.3, 49.36, -1 
XLNX, 02/05/2016, 48.46, 49.09, 47.83, 48.07, -1 
XLNX, 02/08/2016, 47.65, 47.76, 46.55, 47.37, -1 
XLNX, 02/09/2016, 46.51, 47.89, 46.51, 47.22, -1 
XLNX, 02/10/2016, 47.35, 47.8, 46.82, 46.86, -1 
XLNX, 02/11/2016, 45.95, 47.6, 45.83, 47.23, -1 
XLNX, 02/12/2016, 47.52, 47.65, 46.27, 47.64, -1 
XLNX, 02/16/2016, 47.56, 48.37, 47.55, 48.08, -1 
XLNX, 02/17/2016, 48.08, 49.02, 48.08, 48.81, -1 
XLNX, 02/18/2016, 48.77, 48.9, 47.89, 47.93, -1 
XLNX, 02/19/2016, 47.4, 48.56, 47.4, 48.42, -1 
XLNX, 02/22/2016, 48.6, 49.24, 48.49, 48.88, -1 
XLNX, 02/23/2016, 48.24, 48.93, 48.24, 48.46, -1 
XLNX, 02/24/2016, 47.35, 47.79, 46.33, 47.57, -1 
XLNX, 02/25/2016, 45.91, 48.25, 45.91, 48.24, -1 
XLNX, 02/26/2016, 48.5, 48.71, 48.26, 48.37, -1 
XLNX, 02/29/2016, 47.54, 48.46, 47.22, 47.22, -1 
XLNX, 03/01/2016, 47.79, 48.31, 47.23, 48.22, -1 
XLNX, 03/02/2016, 46.5, 48.24, 46.5, 48.15, -1 
XLNX, 03/03/2016, 46.43, 48.25, 46.43, 47.85, -1 
XLNX, 03/04/2016, 47.68, 47.79, 46.84, 46.99, -1 
XLNX, 03/07/2016, 46.12, 47.22, 45.9, 47.12, -1 
XLNX, 03/08/2016, 46.02, 46.78, 45.94, 45.95, -1 
XLNX, 03/09/2016, 45.25, 46.71, 45.25, 46.41, -1 
XLNX, 03/10/2016, 45.77, 47.06, 45.77, 46.38, -1 
XLNX, 03/11/2016, 46.15, 47.05, 46.15, 46.71, -1 
XLNX, 03/14/2016, 46.92, 47.57, 46.52, 47.0, -1 
XLNX, 03/15/2016, 46.45, 47.12, 46.45, 47.04, -1 
XLNX, 03/16/2016, 45.29, 47.67, 45.29, 47.66, -1 
