Symbol, Date, Open, High, Low, Close, Volume 
XRAY, 02/09/2016, 56.55, 57.56, 56.38, 56.97, -1 
XRAY, 02/10/2016, 57.06, 58.24, 57.06, 57.71, -1 
XRAY, 02/11/2016, 51.65, 57.19, 51.65, 56.52, -1 
XRAY, 02/12/2016, 56.31, 56.8, 53.41, 54.69, -1 
XRAY, 02/16/2016, 53.11, 55.7, 53.11, 55.69, -1 
XRAY, 02/17/2016, 54.8, 56.46, 54.8, 55.9, -1 
XRAY, 02/18/2016, 55.97, 56.08, 55.48, 55.6, -1 
XRAY, 02/19/2016, 54.8, 56.69, 54.8, 56.37, -1 
XRAY, 02/22/2016, 56.7, 56.9, 56.22, 56.66, -1 
XRAY, 02/23/2016, 54.81, 57.02, 54.8, 56.63, -1 
XRAY, 02/24/2016, 54.81, 58.08, 54.8, 57.88, -1 
XRAY, 02/25/2016, 54.81, 60.9, 54.81, 60.73, -1 
XRAY, 02/26/2016, 60.58, 61.79, 60.55, 60.66, -1 
XRAY, 02/29/2016, 59.47, 61.68, 59.47, 60.97, -1 
XRAY, 03/01/2016, 59.2, 61.19, 58.96, 60.42, -1 
XRAY, 03/02/2016, 59.58, 60.73, 59.18, 60.2, -1 
XRAY, 03/03/2016, 59.42, 60.89, 59.42, 60.62, -1 
XRAY, 03/04/2016, 59.43, 61.37, 59.43, 60.16, -1 
XRAY, 03/07/2016, 58.0, 61.26, 58.0, 61.0, -1 
XRAY, 03/08/2016, 57.42, 62.41, 57.42, 61.53, -1 
XRAY, 03/09/2016, 58.39, 62.41, 58.39, 62.12, -1 
XRAY, 03/10/2016, 58.95, 62.84, 58.94, 62.44, -1 
XRAY, 03/11/2016, 59.25, 63.67, 59.25, 63.48, -1 
XRAY, 03/14/2016, 60.75, 62.78, 60.74, 61.38, -1 
XRAY, 03/15/2016, 59.76, 61.77, 59.76, 60.89, -1 
XRAY, 03/16/2016, 57.62, 61.52, 57.61, 61.29, -1 
XRAY, 03/17/2016, 58.17, 61.41, 58.17, 60.8, -1 
XRAY, 03/18/2016, 57.52, 61.62, 57.52, 60.72, -1 
XRAY, 03/21/2016, 59.2, 60.82, 59.2, 59.99, -1 
XRAY, 03/22/2016, 59.79, 61.05, 59.5, 60.91, -1 
XRAY, 03/23/2016, 58.75, 61.01, 58.75, 60.54, -1 
XRAY, 03/24/2016, 58.02, 59.75, 58.02, 59.6, -1 
XRAY, 03/28/2016, 58.44, 60.75, 58.44, 60.38, -1 
XRAY, 03/29/2016, 58.19, 62.15, 58.19, 61.98, -1 
XRAY, 03/30/2016, 62.19, 62.36, 61.78, 62.06, -1 
XRAY, 03/31/2016, 60.79, 62.33, 60.79, 61.61, -1 
XRAY, 04/01/2016, 60.72, 61.86, 60.72, 61.49, -1 
XRAY, 04/04/2016, 60.72, 61.99, 60.72, 61.39, -1 
XRAY, 04/05/2016, 60.24, 61.31, 60.24, 60.66, -1 
XRAY, 04/06/2016, 60.21, 61.05, 60.21, 61.01, -1 
XRAY, 04/07/2016, 60.2, 60.78, 59.94, 60.2, -1 
XRAY, 04/08/2016, 60.52, 60.54, 59.39, 59.71, -1 
XRAY, 04/11/2016, 59.79, 60.13, 59.35, 59.49, -1 
XRAY, 04/12/2016, 57.51, 59.77, 57.51, 59.71, -1 
XRAY, 04/13/2016, 56.84, 59.99, 56.84, 59.79, -1 
XRAY, 04/14/2016, 57.75, 60.25, 57.75, 60.03, -1 
XRAY, 04/15/2016, 57.49, 60.11, 57.49, 60.08, -1 
XRAY, 04/18/2016, 59.37, 61.08, 59.37, 60.88, -1 
XRAY, 04/19/2016, 60.62, 61.25, 60.62, 61.04, -1 
XRAY, 04/20/2016, 60.69, 61.46, 60.46, 61.26, -1 
XRAY, 04/21/2016, 59.1, 61.36, 59.1, 60.55, -1 
XRAY, 04/22/2016, 59.76, 60.98, 59.76, 60.72, -1 
XRAY, 04/25/2016, 60.32, 61.3, 60.32, 61.11, -1 
XRAY, 04/26/2016, 58.97, 61.28, 58.97, 60.57, -1 
XRAY, 04/27/2016, 57.43, 61.1, 57.43, 60.94, -1 
