Symbol, Date, Open, High, Low, Close, Volume 
XYL, 10/30/2015, 33.44, 36.78, 33.25, 36.42, -1 
XYL, 11/02/2015, 34.89, 36.82, 34.89, 36.63, -1 
XYL, 11/03/2015, 36.42, 36.89, 36.4, 36.58, -1 
XYL, 11/04/2015, 36.48, 36.9, 36.46, 36.64, -1 
XYL, 11/05/2015, 36.49, 36.94, 36.29, 36.79, -1 
XYL, 11/06/2015, 36.56, 36.9, 36.38, 36.9, -1 
XYL, 11/09/2015, 36.65, 36.85, 36.31, 36.43, -1 
XYL, 11/10/2015, 36.09, 36.91, 36.09, 36.91, -1 
XYL, 11/11/2015, 36.84, 37.25, 36.84, 36.96, -1 
XYL, 11/12/2015, 36.45, 36.75, 35.74, 35.79, -1 
XYL, 11/13/2015, 35.57, 36.27, 35.57, 35.87, -1 
XYL, 11/16/2015, 35.69, 36.68, 35.69, 36.59, -1 
XYL, 11/17/2015, 36.5, 37.13, 36.43, 37.0, -1 
XYL, 11/18/2015, 36.97, 37.49, 36.97, 37.46, -1 
XYL, 11/19/2015, 37.09, 37.77, 37.09, 37.65, -1 
XYL, 11/20/2015, 37.66, 38.0, 37.45, 37.51, -1 
XYL, 11/23/2015, 37.3, 37.85, 37.3, 37.54, -1 
XYL, 11/24/2015, 37.18, 37.61, 37.09, 37.48, -1 
XYL, 11/25/2015, 37.32, 37.86, 37.32, 37.65, -1 
XYL, 11/27/2015, 37.35, 37.62, 37.25, 37.56, -1 
XYL, 11/30/2015, 37.38, 37.67, 37.24, 37.31, -1 
XYL, 12/01/2015, 34.16, 37.75, 34.15, 37.62, -1 
XYL, 12/02/2015, 34.61, 37.58, 34.6, 36.95, -1 
XYL, 12/03/2015, 36.91, 37.11, 36.42, 36.74, -1 
XYL, 12/04/2015, 36.66, 37.69, 36.66, 37.64, -1 
XYL, 12/07/2015, 37.37, 37.44, 36.77, 36.91, -1 
XYL, 12/08/2015, 36.4, 36.65, 36.2, 36.29, -1 
XYL, 12/09/2015, 35.91, 36.79, 35.91, 36.26, -1 
XYL, 12/10/2015, 36.04, 36.96, 36.04, 36.68, -1 
XYL, 12/11/2015, 36.18, 36.76, 36.06, 36.22, -1 
XYL, 12/14/2015, 36.09, 36.66, 36.09, 36.64, -1 
XYL, 12/15/2015, 36.76, 37.06, 36.64, 36.69, -1 
XYL, 12/16/2015, 36.76, 37.62, 36.7, 37.46, -1 
XYL, 12/17/2015, 37.27, 37.57, 36.44, 36.45, -1 
XYL, 12/18/2015, 36.16, 36.29, 35.81, 35.82, -1 
XYL, 12/21/2015, 35.9, 36.3, 35.87, 36.14, -1 
XYL, 12/22/2015, 36.12, 36.52, 36.02, 36.49, -1 
XYL, 12/23/2015, 36.51, 37.28, 36.51, 37.13, -1 
XYL, 12/24/2015, 36.95, 37.25, 36.94, 37.04, -1 
XYL, 12/28/2015, 36.75, 36.98, 36.66, 36.93, -1 
XYL, 12/29/2015, 37.01, 37.45, 36.98, 37.11, -1 
XYL, 12/30/2015, 36.85, 37.21, 36.83, 36.88, -1 
XYL, 12/31/2015, 36.61, 36.84, 36.43, 36.51, -1 
XYL, 01/04/2016, 35.72, 36.18, 35.59, 36.06, -1 
XYL, 01/05/2016, 35.94, 36.17, 35.51, 36.06, -1 
XYL, 01/06/2016, 35.39, 36.49, 35.2, 35.61, -1 
XYL, 01/07/2016, 34.86, 35.26, 34.48, 34.68, -1 
XYL, 01/08/2016, 34.78, 35.0, 34.28, 34.36, -1 
XYL, 01/11/2016, 33.3, 34.56, 33.3, 34.07, -1 
XYL, 01/12/2016, 34.18, 34.55, 33.84, 34.27, -1 
XYL, 01/13/2016, 34.31, 34.39, 33.32, 33.38, -1 
XYL, 01/14/2016, 33.22, 33.76, 33.1, 33.56, -1 
