Symbol, Date, Open, High, Low, Close, Volume 
YHOO, 10/30/2015, 35.12, 35.69, 35.05, 35.61, -1 
YHOO, 11/02/2015, 35.46, 35.47, 35.07, 35.27, -1 
YHOO, 11/03/2015, 35.16, 35.33, 34.65, 34.71, -1 
YHOO, 11/04/2015, 34.91, 35.23, 34.75, 35.07, -1 
YHOO, 11/05/2015, 35.01, 35.29, 34.15, 35.11, -1 
YHOO, 11/06/2015, 34.91, 35.2, 33.46, 34.19, -1 
YHOO, 11/09/2015, 34.0, 34.06, 33.07, 33.68, -1 
YHOO, 11/10/2015, 33.45, 34.12, 33.25, 33.99, -1 
YHOO, 11/11/2015, 34.15, 34.22, 33.02, 33.37, -1 
YHOO, 11/12/2015, 33.17, 33.84, 33.12, 33.23, -1 
YHOO, 11/13/2015, 32.65, 33.03, 32.17, 32.19, -1 
YHOO, 11/16/2015, 32.16, 32.99, 32.11, 32.94, -1 
YHOO, 11/17/2015, 33.0, 33.1, 32.62, 32.86, -1 
YHOO, 11/18/2015, 32.87, 33.01, 32.31, 32.96, -1 
YHOO, 11/19/2015, 33.2, 33.49, 32.58, 32.62, -1 
YHOO, 11/20/2015, 32.68, 33.3, 32.68, 33.1, -1 
YHOO, 11/23/2015, 32.87, 33.86, 32.87, 33.36, -1 
YHOO, 11/24/2015, 33.08, 33.19, 32.61, 32.95, -1 
YHOO, 11/25/2015, 32.75, 33.52, 32.75, 33.16, -1 
YHOO, 11/27/2015, 32.61, 33.08, 32.44, 32.94, -1 
YHOO, 11/30/2015, 33.05, 33.82, 32.84, 33.81, -1 
YHOO, 12/01/2015, 33.71, 33.88, 33.47, 33.69, -1 
YHOO, 12/02/2015, 34.96, 36.38, 34.75, 35.65, -1 
YHOO, 12/03/2015, 35.57, 35.72, 34.1, 34.34, -1 
YHOO, 12/04/2015, 34.3, 35.19, 34.17, 34.89, -1 
YHOO, 12/07/2015, 34.71, 34.91, 34.47, 34.67, -1 
YHOO, 12/08/2015, 34.16, 34.97, 34.02, 34.85, -1 
YHOO, 12/09/2015, 35.78, 35.82, 33.15, 34.4, -1 
YHOO, 12/10/2015, 34.3, 34.72, 33.91, 34.63, -1 
YHOO, 12/11/2015, 34.01, 34.12, 32.81, 32.91, -1 
YHOO, 12/14/2015, 32.94, 33.27, 32.2, 32.6, -1 
YHOO, 12/15/2015, 32.53, 33.38, 32.5, 33.02, -1 
YHOO, 12/16/2015, 33.14, 33.87, 32.9, 33.78, -1 
YHOO, 12/17/2015, 33.72, 34.07, 33.1, 33.23, -1 
YHOO, 12/18/2015, 33.1, 33.62, 32.87, 32.95, -1 
YHOO, 12/21/2015, 33.06, 33.29, 32.69, 32.96, -1 
YHOO, 12/22/2015, 32.99, 34.2, 32.95, 34.18, -1 
YHOO, 12/23/2015, 34.26, 34.57, 33.99, 34.45, -1 
YHOO, 12/24/2015, 34.19, 34.73, 34.1, 34.1, -1 
YHOO, 12/28/2015, 33.77, 33.91, 33.34, 33.58, -1 
YHOO, 12/29/2015, 33.6, 34.17, 33.6, 34.04, -1 
YHOO, 12/30/2015, 33.83, 34.01, 33.34, 33.36, -1 
YHOO, 12/31/2015, 33.22, 33.68, 33.18, 33.25, -1 
YHOO, 01/04/2016, 32.12, 32.34, 31.14, 31.39, -1 
YHOO, 01/05/2016, 31.48, 32.32, 31.47, 32.2, -1 
YHOO, 01/06/2016, 31.65, 32.45, 31.6, 32.16, -1 
YHOO, 01/07/2016, 30.87, 31.19, 30.02, 30.16, -1 
YHOO, 01/08/2016, 30.47, 31.54, 29.99, 30.63, -1 
YHOO, 01/11/2016, 30.65, 30.75, 29.74, 30.15, -1 
YHOO, 01/12/2016, 30.51, 30.96, 30.21, 30.69, -1 
YHOO, 01/13/2016, 30.74, 31.17, 29.32, 29.43, -1 
YHOO, 01/14/2016, 29.69, 30.56, 28.7, 30.31, -1 
YHOO, 01/15/2016, 29.28, 29.76, 28.58, 29.14, -1 
YHOO, 01/19/2016, 29.84, 29.99, 29.31, 29.73, -1 
YHOO, 01/20/2016, 28.98, 29.11, 27.44, 28.77, -1 
YHOO, 01/21/2016, 28.74, 29.79, 28.18, 29.31, -1 
YHOO, 01/22/2016, 29.89, 30.51, 29.31, 29.74, -1 
YHOO, 01/25/2016, 29.94, 30.38, 29.66, 29.78, -1 
YHOO, 01/26/2016, 29.55, 30.19, 29.55, 29.98, -1 
YHOO, 01/27/2016, 29.81, 30.52, 29.44, 29.69, -1 
YHOO, 01/28/2016, 30.58, 30.63, 28.6, 28.74, -1 
YHOO, 01/29/2016, 29.1, 29.48, 28.51, 29.42, -1 
YHOO, 02/01/2016, 29.25, 29.78, 28.79, 29.57, -1 
