Symbol, Date, Open, High, Low, Close, Volume 
YUM, 10/30/2015, 72.5, 72.65, 70.5, 70.92, -1 
YUM, 11/02/2015, 71.2, 72.12, 71.18, 71.83, -1 
YUM, 11/03/2015, 71.04, 72.45, 71.04, 72.2, -1 
YUM, 11/04/2015, 71.86, 72.32, 71.34, 71.54, -1 
YUM, 11/05/2015, 71.29, 71.94, 70.77, 71.17, -1 
YUM, 11/06/2015, 70.33, 71.32, 70.33, 71.24, -1 
YUM, 11/09/2015, 70.29, 70.52, 68.4, 68.99, -1 
YUM, 11/10/2015, 68.38, 69.3, 68.32, 68.76, -1 
YUM, 11/11/2015, 68.84, 69.24, 68.26, 68.44, -1 
YUM, 11/12/2015, 68.06, 68.2, 66.69, 67.1, -1 
YUM, 11/13/2015, 69.36, 69.85, 67.87, 69.48, -1 
YUM, 11/16/2015, 69.01, 69.32, 68.19, 68.82, -1 
YUM, 11/17/2015, 68.31, 70.04, 68.31, 69.93, -1 
YUM, 11/18/2015, 69.43, 71.29, 69.43, 71.12, -1 
YUM, 11/19/2015, 70.73, 71.98, 70.73, 71.64, -1 
YUM, 11/20/2015, 71.49, 73.34, 71.49, 72.76, -1 
YUM, 11/23/2015, 72.46, 73.26, 72.46, 72.69, -1 
YUM, 11/24/2015, 71.54, 72.68, 71.54, 72.4, -1 
YUM, 11/25/2015, 72.12, 72.89, 72.12, 72.58, -1 
YUM, 11/27/2015, 72.06, 72.99, 72.06, 72.94, -1 
YUM, 11/30/2015, 72.44, 73.01, 72.42, 72.52, -1 
YUM, 12/01/2015, 73.03, 74.77, 73.03, 74.5, -1 
YUM, 12/02/2015, 74.24, 75.49, 74.24, 74.95, -1 
YUM, 12/03/2015, 74.61, 75.02, 72.91, 73.15, -1 
YUM, 12/04/2015, 73.34, 76.41, 73.34, 76.12, -1 
YUM, 12/07/2015, 75.16, 76.62, 75.01, 76.42, -1 
YUM, 12/08/2015, 75.17, 76.35, 74.12, 75.58, -1 
YUM, 12/09/2015, 75.11, 76.51, 73.65, 73.81, -1 
YUM, 12/10/2015, 73.59, 74.0, 71.14, 73.17, -1 
YUM, 12/11/2015, 72.42, 72.92, 70.92, 71.3, -1 
YUM, 12/14/2015, 71.08, 71.67, 70.47, 71.65, -1 
YUM, 12/15/2015, 71.91, 72.92, 71.91, 72.62, -1 
YUM, 12/16/2015, 72.69, 73.74, 72.07, 73.53, -1 
YUM, 12/17/2015, 73.42, 74.0, 72.19, 72.22, -1 
YUM, 12/18/2015, 71.75, 72.16, 71.0, 71.83, -1 
YUM, 12/21/2015, 71.8, 73.62, 71.8, 73.39, -1 
YUM, 12/22/2015, 73.54, 73.64, 72.06, 72.99, -1 
YUM, 12/23/2015, 70.97, 74.27, 70.97, 74.11, -1 
YUM, 12/24/2015, 73.54, 74.66, 73.5, 74.0, -1 
YUM, 12/28/2015, 73.47, 73.95, 73.04, 73.85, -1 
YUM, 12/29/2015, 73.7, 74.74, 73.7, 74.23, -1 
YUM, 12/30/2015, 74.0, 74.28, 73.71, 73.8, -1 
YUM, 12/31/2015, 73.34, 73.75, 73.02, 73.03, -1 
YUM, 01/04/2016, 71.21, 72.24, 70.64, 72.23, -1 
YUM, 01/05/2016, 72.08, 73.16, 71.29, 72.02, -1 
YUM, 01/06/2016, 71.2, 71.98, 70.82, 71.52, -1 
YUM, 01/07/2016, 69.53, 70.41, 68.67, 69.08, -1 
