Symbol, Date, Open, High, Low, Close, Volume 
ZION, 10/30/2015, 26.98, 29.59, 26.98, 28.76, -1 
ZION, 11/02/2015, 25.88, 29.3, 25.88, 29.18, -1 
ZION, 11/03/2015, 29.1, 29.31, 28.91, 28.97, -1 
ZION, 11/04/2015, 29.04, 29.29, 28.88, 29.1, -1 
ZION, 11/05/2015, 28.55, 29.86, 28.55, 29.7, -1 
ZION, 11/06/2015, 30.41, 31.17, 30.41, 30.68, -1 
ZION, 11/09/2015, 30.8, 30.96, 30.27, 30.54, -1 
ZION, 11/10/2015, 28.8, 30.79, 28.8, 30.78, -1 
ZION, 11/11/2015, 27.71, 31.06, 27.71, 30.48, -1 
ZION, 11/12/2015, 27.85, 30.2, 27.85, 29.76, -1 
ZION, 11/13/2015, 29.61, 29.89, 29.26, 29.48, -1 
ZION, 11/16/2015, 26.39, 29.65, 26.39, 29.64, -1 
ZION, 11/17/2015, 26.88, 30.15, 26.88, 29.75, -1 
ZION, 11/18/2015, 25.88, 30.25, 25.88, 30.21, -1 
ZION, 11/19/2015, 26.33, 30.16, 26.33, 29.92, -1 
ZION, 11/20/2015, 29.51, 30.19, 29.51, 29.93, -1 
ZION, 11/23/2015, 27.35, 30.18, 27.34, 29.87, -1 
ZION, 11/24/2015, 28.59, 30.04, 28.59, 29.94, -1 
ZION, 11/25/2015, 28.53, 30.11, 28.53, 29.93, -1 
ZION, 11/27/2015, 27.4, 30.09, 27.4, 30.08, -1 
ZION, 11/30/2015, 28.2, 30.18, 28.2, 29.96, -1 
ZION, 12/01/2015, 27.42, 30.44, 27.42, 30.4, -1 
ZION, 12/02/2015, 30.35, 30.55, 29.86, 29.93, -1 
ZION, 12/03/2015, 29.96, 30.21, 29.35, 29.47, -1 
ZION, 12/04/2015, 29.27, 30.27, 29.23, 30.18, -1 
ZION, 12/07/2015, 30.0, 30.12, 28.8, 28.91, -1 
ZION, 12/08/2015, 28.55, 28.76, 27.88, 27.99, -1 
ZION, 12/09/2015, 27.56, 28.43, 27.51, 27.78, -1 
ZION, 12/10/2015, 27.5, 28.65, 27.5, 28.2, -1 
ZION, 12/11/2015, 26.01, 27.89, 26.01, 27.36, -1 
ZION, 12/14/2015, 26.41, 27.68, 26.41, 26.95, -1 
ZION, 12/15/2015, 27.25, 28.14, 27.25, 27.9, -1 
ZION, 12/16/2015, 24.12, 28.39, 24.12, 28.2, -1 
ZION, 12/17/2015, 28.24, 28.41, 27.75, 27.75, -1 
ZION, 12/18/2015, 27.2, 27.6, 26.52, 26.71, -1 
ZION, 12/21/2015, 26.71, 27.06, 26.42, 26.76, -1 
ZION, 12/22/2015, 24.63, 27.26, 24.63, 27.16, -1 
ZION, 12/23/2015, 25.15, 27.72, 25.15, 27.67, -1 
ZION, 12/24/2015, 27.42, 28.0, 27.41, 27.77, -1 
ZION, 12/28/2015, 23.85, 27.69, 23.85, 27.64, -1 
ZION, 12/29/2015, 25.58, 28.05, 25.58, 27.8, -1 
ZION, 12/30/2015, 27.51, 27.73, 27.41, 27.46, -1 
ZION, 12/31/2015, 26.68, 27.63, 26.68, 27.3, -1 
ZION, 01/04/2016, 26.01, 26.91, 26.01, 26.71, -1 
ZION, 01/05/2016, 26.26, 26.86, 26.24, 26.41, -1 
ZION, 01/06/2016, 22.55, 25.99, 22.55, 25.65, -1 
ZION, 01/07/2016, 23.96, 25.45, 23.96, 24.87, -1 
ZION, 01/08/2016, 24.73, 25.18, 24.54, 24.58, -1 
ZION, 01/11/2016, 24.06, 24.81, 23.99, 24.1, -1 
ZION, 01/12/2016, 21.93, 24.51, 21.93, 24.0, -1 
ZION, 01/13/2016, 24.1, 24.14, 22.6, 22.89, -1 
ZION, 01/14/2016, 22.75, 23.29, 22.33, 22.98, -1 
ZION, 01/15/2016, 22.09, 22.41, 21.83, 22.33, -1 
ZION, 01/19/2016, 22.45, 22.67, 21.71, 21.94, -1 
ZION, 01/20/2016, 21.27, 21.7, 20.69, 21.47, -1 
ZION, 01/21/2016, 21.26, 21.78, 21.01, 21.08, -1 
ZION, 01/22/2016, 20.81, 21.74, 20.81, 21.5, -1 
ZION, 01/25/2016, 20.0, 21.4, 20.0, 20.38, -1 
ZION, 01/26/2016, 20.73, 21.75, 20.73, 21.23, -1 
ZION, 01/27/2016, 20.52, 22.55, 20.52, 21.77, -1 
ZION, 01/28/2016, 21.78, 22.91, 21.78, 22.14, -1 
ZION, 01/29/2016, 21.51, 22.7, 21.51, 22.68, -1 
ZION, 02/01/2016, 21.51, 22.65, 21.51, 22.49, -1 
ZION, 02/02/2016, 22.21, 22.33, 21.32, 21.53, -1 
ZION, 02/03/2016, 19.98, 21.83, 19.98, 21.77, -1 
ZION, 02/04/2016, 21.74, 22.56, 21.64, 22.05, -1 
ZION, 02/05/2016, 21.01, 22.37, 21.01, 21.63, -1 
ZION, 02/08/2016, 20.76, 21.42, 20.4, 20.72, -1 
ZION, 02/09/2016, 20.3, 20.97, 20.15, 20.77, -1 
ZION, 02/10/2016, 20.87, 21.45, 20.73, 20.74, -1 
ZION, 02/11/2016, 19.96, 20.22, 19.63, 19.9, -1 
ZION, 02/12/2016, 20.4, 21.24, 20.19, 20.98, -1 
ZION, 02/16/2016, 20.01, 21.9, 20.01, 21.67, -1 
ZION, 02/17/2016, 22.0, 22.28, 21.5, 21.58, -1 
ZION, 02/18/2016, 21.67, 21.74, 21.03, 21.16, -1 
ZION, 02/19/2016, 20.36, 21.52, 20.36, 21.4, -1 
ZION, 02/22/2016, 21.64, 22.24, 21.63, 22.2, -1 
ZION, 02/23/2016, 22.05, 22.11, 21.1, 21.2, -1 
ZION, 02/24/2016, 20.01, 20.99, 20.01, 20.67, -1 
ZION, 02/25/2016, 19.72, 21.24, 19.72, 21.23, -1 
ZION, 02/26/2016, 21.33, 22.08, 21.33, 21.76, -1 
ZION, 02/29/2016, 21.6, 21.82, 21.31, 21.31, -1 
ZION, 03/01/2016, 21.02, 22.64, 21.0, 22.31, -1 
ZION, 03/02/2016, 22.01, 22.88, 22.01, 22.84, -1 
ZION, 03/03/2016, 22.01, 23.56, 22.01, 23.55, -1 
ZION, 03/04/2016, 23.51, 24.62, 23.51, 24.33, -1 
ZION, 03/07/2016, 22.08, 24.6, 22.08, 24.45, -1 
