Date,Open,High,Low,Close,Volume,Adj Close,Year,Series,Ticker
2010-12-08,83.23,84.82,83.23,84.68,48948,84.68,2010,0.017421602787456525,MMM
2010-12-09,85.14,85.14,83.72,84.11,33364,84.11,2010,-0.006731223429381261,MMM
2010-12-10,84.35,84.42,83.75,84.32,41099,84.32,2010,0.002496730472000941,MMM
2010-12-13,84.54,85.72,84.43,85.3,38016,85.3,2010,0.011622390891840695,MMM
2010-12-14,85.24,85.91,85.02,85.84,25215,85.84,2010,0.0063305978898007265,MMM
2010-12-15,85.84,87.0,85.45,85.81,39321,85.81,2010,-0.00034948741845297615,MMM
2010-12-16,85.89,86.58,85.15,86.4,23709,86.4,2010,0.006875655518004953,MMM
2010-12-17,86.39,86.65,85.9,86.37,29481,86.37,2010,-0.0003472222222222765,MMM
2010-12-20,86.6,87.82,86.11,87.34,36379,87.34,2010,0.011230751418316531,MMM
2010-12-21,87.52,87.6,86.23,86.53,29805,86.53,2010,-0.0092741012136478,MMM
2010-12-22,86.41,86.9,85.83,86.72,21618,86.72,2010,0.002195770253091478,MMM
2010-12-23,86.79,86.86,86.23,86.47,17049,86.47,2010,-0.0028828413284133214,MMM
2010-12-27,86.38,87.25,86.0,87.01,14656,87.01,2010,0.006244940441771707,MMM
2010-12-28,87.01,87.42,86.44,86.74,15158,86.74,2010,-0.0031030915986669516,MMM
2010-12-29,86.84,87.2,86.55,86.76,13689,86.76,2010,0.00023057412958271684,MMM
2010-12-30,86.78,87.03,86.37,86.54,13954,86.54,2010,-0.0025357307514983773,MMM
2010-12-31,86.53,86.98,86.01,86.3,15098,86.3,2010,-0.002773284030506251,MMM
2011-01-03,86.7,87.33,86.7,86.79,22977,86.79,2011,0.0056778679026652235,MMM
2011-01-04,87.0,87.28,86.28,86.67,24672,86.67,2011,-0.0013826477704804718,MMM
2011-01-05,86.29,87.9,86.12,86.67,37815,86.67,2011,0.0,MMM
2011-01-06,86.86,87.19,85.63,86.14,31837,86.14,2011,-0.006115149417330157,MMM
2011-01-07,86.55,87.31,85.95,86.23,30338,86.23,2011,0.0010448107731599876,MMM
2011-01-10,85.72,87.33,85.72,87.15,29747,87.15,2011,0.010669140670300337,MMM
2011-01-11,87.33,88.34,87.33,87.74,25994,87.74,2011,0.006769936890418604,MMM
2011-01-12,88.02,88.76,87.92,88.66,24968,88.66,2011,0.010485525416001895,MMM
2011-01-13,88.57,88.87,87.76,88.04,20862,88.04,2011,-0.006993006993006867,MMM
2011-01-14,87.74,88.11,87.45,88.1,18466,88.1,2011,0.0006815084052702591,MMM
2011-01-18,87.84,88.5,87.71,88.14,15150,88.14,2011,0.000454029511918419,MMM
2011-01-19,88.27,88.74,87.66,87.96,21313,87.96,2011,-0.002042205582028722,MMM
2011-01-20,87.81,88.38,87.25,88.04,18753,88.04,2011,0.0009095043201456932,MMM
2011-01-21,88.68,89.39,88.37,89.29,35673,89.29,2011,0.01419809177646525,MMM
2011-01-24,89.08,90.5,89.06,90.32,56617,90.32,2011,0.0115354462985775,MMM
2011-01-25,89.4,89.5,87.2,88.5,69291,88.5,2011,-0.020150575730735087,MMM
2011-01-26,88.58,89.72,88.43,89.57,35913,89.57,2011,0.012090395480225835,MMM
2011-01-27,89.2,90.29,89.02,89.19,29858,89.19,2011,-0.004242491905771972,MMM
2011-01-28,89.43,89.69,87.25,87.44,44619,87.44,2011,-0.01962103374817803,MMM
2011-01-31,87.93,88.19,87.31,87.92,32785,87.92,2011,0.0054894784995425105,MMM
2011-02-01,88.02,88.3,87.44,87.79,37035,87.79,2011,-0.0014786169244767056,MMM
2011-02-02,87.68,88.45,87.68,87.75,25828,87.75,2011,-0.0004556327599954946,MMM
2011-02-03,87.82,88.27,87.55,87.95,18390,87.95,2011,0.002279202279202419,MMM
