Date,Open,High,Low,Close,Volume,Adj Close,Year,Series,Ticker
2010-12-08,29.95,30.04,29.36,29.67,43098,29.67,2010,-0.009348914858096746,TTM
2010-12-09,28.35,28.45,27.36,27.86,63070,27.86,2010,-0.061004381530165186,TTM
2010-12-10,27.95,28.75,27.75,28.4,31509,28.4,2010,0.01938262742282837,TTM
2010-12-13,29.0,29.0,28.38,28.56,22377,28.56,2010,0.005633802816901401,TTM
2010-12-14,28.98,29.72,28.9,29.68,34688,29.68,2010,0.03921568627450989,TTM
2010-12-15,29.88,29.96,29.51,29.66,29906,29.66,2010,-0.0006738544474393926,TTM
2010-12-16,29.75,29.97,29.29,29.92,18572,29.92,2010,0.008766014834794333,TTM
2010-12-17,30.07,30.5,30.0,30.17,20546,30.17,2010,0.008355614973261982,TTM
2010-12-20,30.26,30.29,29.72,29.78,19163,29.78,2010,-0.012926748425588386,TTM
2010-12-21,30.12,30.89,30.0,30.68,31840,30.68,2010,0.030221625251846795,TTM
2010-12-22,30.89,31.04,30.58,30.64,20694,30.64,2010,-0.0013037809647978849,TTM
2010-12-23,30.49,30.49,30.08,30.15,11341,30.15,2010,-0.015992167101827715,TTM
2010-12-27,29.7,30.0,29.3,29.4,16051,29.4,2010,-0.02487562189054726,TTM
2010-12-28,28.99,29.11,28.5,28.59,20561,28.59,2010,-0.027551020408163263,TTM
2010-12-29,28.59,29.22,28.57,28.94,17554,28.94,2010,0.012242042672263143,TTM
2010-12-30,29.17,29.48,29.17,29.34,10652,29.34,2010,0.013821700069108545,TTM
2010-12-31,29.17,29.6,29.0,29.34,8458,29.34,2010,0.0,TTM
2011-01-03,29.81,30.21,29.72,30.06,19491,30.06,2011,0.024539877300613355,TTM
2011-01-04,29.49,29.75,29.06,29.26,26192,29.26,2011,-0.026613439787092408,TTM
2011-01-05,29.09,29.43,28.81,29.03,16455,29.03,2011,-0.007860560492139457,TTM
2011-01-06,28.67,28.67,27.97,28.14,27397,28.14,2011,-0.03065794006200484,TTM
2011-01-07,26.92,27.05,26.43,27.01,37692,27.01,2011,-0.04015636105188336,TTM
2011-01-10,26.27,26.63,25.95,26.15,36205,26.15,2011,-0.031840059237319585,TTM
2011-01-11,26.35,26.99,26.17,26.67,35645,26.67,2011,0.01988527724665401,TTM
2011-01-12,27.63,27.78,27.08,27.56,26278,27.56,2011,0.03337082864641916,TTM
2011-01-13,27.97,28.0,27.18,27.33,18007,27.33,2011,-0.00834542815674888,TTM
2011-01-14,26.73,26.77,26.41,26.6,19786,26.6,2011,-0.026710574460299896,TTM
2011-01-18,26.72,26.85,26.46,26.49,20352,26.49,2011,-0.00413533834586477,TTM
2011-01-19,26.52,26.57,25.9,26.12,24376,26.12,2011,-0.013967534918837177,TTM
2011-01-20,26.25,26.54,25.76,26.34,22057,26.34,2011,0.008422664624808451,TTM
2011-01-21,26.49,26.56,25.88,25.93,21984,25.93,2011,-0.015565679574791158,TTM
2011-01-24,26.06,26.63,25.92,26.39,18194,26.39,2011,0.01774006941766304,TTM
2011-01-25,26.0,26.31,25.81,26.23,21546,26.23,2011,-0.0060629026146267195,TTM
2011-01-26,26.41,26.72,26.14,26.34,26846,26.34,2011,0.004193671368661889,TTM
2011-01-27,26.46,26.5,26.2,26.3,18291,26.3,2011,-0.0015186028853454436,TTM
2011-01-28,25.68,25.73,24.57,24.71,42096,24.71,2011,-0.06045627376425855,TTM
2011-01-31,24.67,24.98,23.91,24.26,56457,24.26,2011,-0.018211250505868026,TTM
2011-02-01,23.6,24.69,23.35,24.49,56382,24.49,2011,0.0094806265457541,TTM
2011-02-02,24.71,24.87,24.05,24.14,22830,24.14,2011,-0.014291547570436824,TTM
2011-02-03,25.17,25.91,25.01,25.69,40189,25.69,2011,0.06420878210439107,TTM
2011-02-04,25.43,25.56,24.84,24.98,28228,24.98,2011,-0.027637212923316445,TTM
2011-02-07,25.14,25.5,24.98,25.06,21836,25.06,2011,0.0032025620496396456,TTM
2011-02-08,24.75,24.89,24.49,24.85,19778,24.85,2011,-0.008379888268156277,TTM
2011-02-09,24.2,24.25,23.74,23.93,28782,23.93,2011,-0.03702213279678079,TTM
2011-02-10,24.16,24.45,23.88,24.22,25379,24.22,2011,0.012118679481821992,TTM
2011-02-11,25.3,26.99,25.21,26.4,74819,26.4,2011,0.09000825763831544,TTM
2011-02-14,27.13,27.35,26.8,27.0,47682,27.0,2011,0.022727272727272707,TTM
2011-02-15,27.38,27.45,26.75,27.07,23250,27.07,2011,0.002592592592592702,TTM
2011-02-16,27.16,27.19,26.76,26.86,23148,26.86,2011,-0.0077576653121537165,TTM
2011-02-17,27.14,27.2,26.94,27.07,20384,27.07,2011,0.007818317200297908,TTM
2011-02-18,26.71,26.79,26.09,26.4,22120,26.4,2011,-0.02475064647210945,TTM
2011-02-22,25.44,25.5,24.9,25.17,25208,25.17,2011,-0.046590909090909016,TTM
2011-02-23,25.25,25.43,24.15,24.68,31546,24.68,2011,-0.019467620182757384,TTM
2011-02-24,23.75,24.11,23.35,23.99,41053,23.99,2011,-0.027957860615883345,TTM
2011-02-25,24.55,24.55,24.11,24.36,26923,24.36,2011,0.015423092955398232,TTM
2011-02-28,24.4,24.79,24.36,24.62,29483,24.62,2011,0.010673234811166,TTM
2011-03-01,25.21,25.78,24.97,25.6,42889,25.6,2011,0.039805036555645934,TTM
2011-03-02,25.45,25.6,25.28,25.43,17409,25.43,2011,-0.006640625000000067,TTM
2011-03-03,26.0,26.2,25.88,26.12,18741,26.12,2011,0.027133307117577665,TTM
2011-03-04,26.11,26.17,25.41,25.83,15147,25.83,2011,-0.011102603369065989,TTM
2011-03-07,25.25,25.32,24.78,25.07,19912,25.07,2011,-0.029423151374370793,TTM
2011-03-08,25.5,26.47,25.49,26.08,27228,26.08,2011,0.04028719585161533,TTM
2011-03-09,25.84,26.59,25.84,26.41,27844,26.41,2011,0.012653374233128956,TTM
2011-03-10,25.79,26.13,25.42,25.94,25949,25.94,2011,-0.017796289284361944,TTM
2011-03-11,25.45,25.81,25.35,25.74,23061,25.74,2011,-0.007710100231303141,TTM
