Date,Open,High,Low,Close,Volume,Adj Close
2010-11-24,9.205,9.28,9.15,9.265,3185,9.265
2010-11-26,9.305,9.32,9.125,9.17,4218,9.17
2010-11-29,9.185,9.26,9.03,9.16,6063,9.16
2010-11-30,9.1,9.185,9.065,9.16,7797,9.16
2010-12-01,9.3,9.345,9.21,9.22,6559,9.22
2010-12-02,9.39,9.41,9.3,9.41,7363,9.41
2010-12-03,9.37,9.53,9.365,9.47,4169,9.47
2010-12-06,9.49,9.74,9.485,9.66,6344,9.66
2010-12-07,9.715,9.815,9.585,9.715,5921,9.715
2010-12-08,9.845,9.845,9.625,9.645,6022,9.645
2010-12-09,9.68,9.78,9.565,9.755,6993,9.755
2010-12-10,9.605,9.825,9.5,9.795,13072,9.795
2010-12-13,9.765,9.9,9.6,9.705,9071,9.705
2010-12-14,9.775,9.845,9.765,9.84,5912,9.84
2010-12-15,9.745,9.855,9.72,9.74,6028,9.74
2010-12-16,9.805,10.22,9.805,10.17,11878,10.17
2010-12-17,10.1,10.155,9.98,10.015,10225,10.015
2010-12-20,10.26,10.26,10.035,10.07,6486,10.07
2010-12-21,10.255,10.3,10.21,10.22,6381,10.22
2010-12-22,10.22,10.26,10.115,10.18,3075,10.18
2010-12-23,10.22,10.33,10.175,10.215,3877,10.215
2010-12-27,10.21,10.29,10.14,10.22,1454,10.22
2010-12-28,10.22,10.37,10.21,10.31,3278,10.31
2010-12-29,10.31,10.43,10.295,10.3,3530,10.3
2010-12-30,10.33,10.495,10.3,10.455,6614,10.455
2010-12-31,10.47,10.47,10.35,10.35,3161,10.35
2011-01-03,10.41,10.5,10.4,10.455,3608,10.455
2011-01-04,10.415,10.48,10.37,10.45,4076,10.45
2011-01-05,10.43,10.53,10.35,10.49,5402,10.49
2011-01-06,10.45,10.555,10.39,10.495,5958,10.495
2011-01-07,10.005,10.41,10.005,10.24,12332,10.24
2011-01-10,10.16,10.16,9.945,9.945,10353,9.945
2011-01-11,10.11,10.12,9.975,10.04,7247,10.04
2011-01-12,10.15,10.17,10.05,10.06,6413,10.06
2011-01-13,9.9,9.94,9.725,9.765,9824,9.765
2011-01-14,9.705,10.015,9.7,10.015,3852,10.015
2011-01-18,10.135,10.27,10.1,10.1,7302,10.1
2011-01-19,10.175,10.22,9.995,10.095,5785,10.095
2011-01-20,10.115,10.18,9.84,10.02,12772,10.02
2011-01-21,9.51,9.68,9.1,9.17,25961,9.17
2011-01-24,9.13,9.24,9.055,9.12,17431,9.12
2011-01-25,9.12,9.18,8.995,9.125,9080,9.125
2011-01-26,9.125,9.22,9.015,9.15,7378,9.15
2011-01-27,9.13,9.205,8.965,9.025,11171,9.025
2011-01-28,9.09,9.11,8.585,8.585,27367,8.585
