Date,Open,High,Low,Close,Adj Close,Volume,Year,Series,Ticker
2013-11-18,49.75,50.0,47.4900016784668,48.47999954223633,44.05936050415039,587100,2013,-0.11438471348441426,ALLE
2013-11-19,48.9900016784668,49.0,45.29999923706055,45.79999923706055,41.62373352050781,1682000,2013,-0.055280579558415144,ALLE
2013-11-20,45.97999954223633,46.0,43.9900016784668,44.650001525878906,40.57860565185547,1106900,2013,-0.025108940987655815,ALLE
2013-11-21,44.5,45.150001525878906,43.040000915527344,43.790000915527344,39.7970085144043,730200,2013,-0.019261310853233682,ALLE
2013-11-22,43.900001525878906,44.099998474121094,43.25,43.9900016784668,39.97876739501953,947600,2013,0.004567149326046627,ALLE
2013-11-25,44.279998779296875,45.619998931884766,43.70000076293945,44.18000030517578,40.151458740234375,727300,2013,0.004319576526923052,ALLE
2013-11-26,45.0,45.0,43.040000915527344,43.20000076293945,39.26081466674805,873700,2013,-0.022182109976339293,ALLE
2013-11-27,43.54999923706055,43.54999923706055,42.5,43.2400016784668,39.29716110229492,1153300,2013,0.0009257687558292815,ALLE
2013-11-29,42.75,43.849998474121094,42.75,43.2400016784668,39.29716110229492,949900,2013,0.0,ALLE
2013-12-02,43.08000183105469,43.66999816894531,41.52000045776367,43.13999938964844,39.20628356933594,5130700,2013,-0.002312572471136476,ALLE
2013-12-03,42.79999923706055,44.849998474121094,42.70000076293945,42.900001525878906,38.98817825317383,3239300,2013,-0.005563019401632174,ALLE
2013-12-04,42.43000030517578,42.61000061035156,41.650001525878906,41.83000183105469,38.0157356262207,2777700,2013,-0.024941986789905002,ALLE
2013-12-05,42.279998779296875,42.279998779296875,40.630001068115234,41.04999923706055,37.30685043334961,3380500,2013,-0.018647151796324923,ALLE
2013-12-06,40.75,41.060001373291016,40.63999938964844,40.70000076293945,36.988773345947266,4662300,2013,-0.008525969994990668,ALLE
2013-12-09,40.70000076293945,41.27000045776367,40.2400016784668,41.18000030517578,37.425010681152344,3074000,2013,0.011793776752882623,ALLE
2013-12-10,41.06999969482422,42.84000015258789,41.040000915527344,42.560001373291016,38.679168701171875,3289400,2013,0.03351122677571183,ALLE
2013-12-11,42.31999969482422,43.02000045776367,42.0,42.459999084472656,38.58829116821289,3367300,2013,-0.0023495213576353313,ALLE
2013-12-12,42.0099983215332,43.099998474121094,42.0,42.970001220703125,39.051780700683594,1770500,2013,0.012011144273019969,ALLE
2013-12-13,42.91999816894531,43.79999923706055,42.91999816894531,43.25,39.306251525878906,683800,2013,0.00651624127324002,ALLE
2013-12-16,43.0099983215332,43.9900016784668,42.11000061035156,43.689998626708984,39.706138610839844,1953900,2013,0.010173625554134924,ALLE
2013-12-17,43.43000030517578,44.0,43.15999984741211,43.75,39.76066207885742,1396700,2013,0.001373174776625019,ALLE
2013-12-18,43.650001525878906,44.5,43.099998474121094,44.27000045776367,40.233238220214844,1225200,2013,0.01188551992469744,ALLE
2013-12-19,43.959999084472656,44.5,43.81999969482422,44.45000076293945,40.39682388305664,593000,2013,0.004065933294914448,ALLE
2013-12-20,44.29999923706055,44.45000076293945,43.90999984741211,44.2599983215332,40.224151611328125,2878600,2013,-0.004274402171526637,ALLE
2013-12-23,44.16999816894531,44.849998474121094,43.54999923706055,44.650001525878906,40.57860565185547,773600,2013,0.008811970578082251,ALLE
2013-12-24,44.7599983215332,45.02000045776367,44.25,44.58000183105469,40.51497268676758,304700,2013,-0.00156814074968048,ALLE
2013-12-26,44.86000061035156,45.0099983215332,44.439998626708984,44.70000076293945,40.6240348815918,513200,2013,0.002691898515331914,ALLE
2013-12-27,44.77000045776367,44.970001220703125,44.09000015258789,44.63999938964844,40.56949996948242,393300,2013,-0.0013424297283204378,ALLE
2013-12-30,44.45000076293945,44.880001068115234,44.0,44.119998931884766,40.0969123840332,381500,2013,-0.011648839295646085,ALLE
2013-12-31,44.22999954223633,44.5,43.7599983215332,44.189998626708984,40.16053009033203,874200,2013,0.001586598631074576,ALLE
2014-01-02,44.08000183105469,44.18000030517578,43.27000045776367,43.650001525878906,39.66978073120117,992900,2014,-0.01221969326667327,ALLE
2014-01-03,43.56999969482422,44.31999969482422,43.16999816894531,43.959999084472656,39.95150375366211,378400,2014,0.007101703545322469,ALLE
2014-01-06,43.970001220703125,43.97999954223633,43.369998931884766,43.68000030517578,39.697052001953125,597800,2014,-0.006369015626493391,ALLE
2014-01-07,42.15999984741211,43.97999954223633,42.15999984741211,43.869998931884766,39.869720458984375,1371300,2014,0.00434965440312185,ALLE
2014-01-08,44.02000045776367,44.36000061035156,43.400001525878906,43.880001068115234,39.878807067871094,1407100,2014,0.00022790751432699707,ALLE
2014-01-09,43.88999938964844,44.25,43.84000015258789,44.130001068115234,40.10601043701172,1093500,2014,0.005697346180740581,ALLE
2014-01-10,44.16999816894531,46.08000183105469,44.02000045776367,45.72999954223633,41.56011199951172,2008600,2014,0.03625645000974931,ALLE
2014-01-13,45.70000076293945,47.439998626708984,45.20000076293945,47.040000915527344,42.75067138671875,2278500,2014,0.028646683801550443,ALLE
2014-01-14,47.15999984741211,47.88999938964844,46.90999984741211,47.79999923706055,43.44135284423828,2338200,2014,0.016156037674161627,ALLE
2014-01-15,47.970001220703125,49.189998626708984,47.2599983215332,47.5,43.16872024536133,1733000,2014,-0.0062758772696258625,ALLE
2014-01-16,47.279998779296875,47.68000030517578,47.040000915527344,47.400001525878906,43.077842712402344,1178700,2014,-0.002105170883974661,ALLE
2014-01-17,47.52000045776367,48.2400016784668,47.0,48.0,43.623130798339844,1572100,2014,0.012658203187610129,ALLE
2014-01-21,49.380001068115234,49.380001068115234,47.939998626708984,48.16999816894531,43.777610778808594,1570400,2014,0.0035412401091263757,ALLE
2014-01-22,48.11000061035156,49.15999984741211,48.08000183105469,48.5099983215332,44.08661651611328,682200,2014,0.007058533615869944,ALLE
2014-01-23,48.68000030517578,48.68000030517578,47.58000183105469,47.720001220703125,43.368648529052734,867600,2014,-0.016285395519026413,ALLE
2014-01-24,47.619998931884766,47.709999084472656,45.83000183105469,46.84000015258789,42.56888961791992,1417500,2014,-0.018440946127178726,ALLE
2014-01-27,45.20000076293945,48.0,45.20000076293945,46.599998474121094,42.35077667236328,717800,2014,-0.00512376403317838,ALLE
2014-01-28,46.77000045776367,47.880001068115234,46.77000045776367,47.72999954223633,43.377742767333984,721700,2014,0.02424904985605303,ALLE
2014-01-29,47.349998474121094,48.47999954223633,47.130001068115234,47.779998779296875,43.423187255859375,800900,2014,0.0010476453043934963,ALLE
2014-01-30,47.90999984741211,49.630001068115234,47.83000183105469,49.41999816894531,44.913639068603516,1247100,2014,0.03432386950230204,ALLE
2014-01-31,49.25,49.959999084472656,49.029998779296875,49.349998474121094,44.85002517700195,2011100,2014,-0.0014163602175364387,ALLE
2014-02-03,49.349998474121094,49.939998626708984,47.20000076293945,47.439998626708984,43.114200592041016,1184800,2014,-0.03870286757054098,ALLE
