Date,Open,High,Low,Close,Adj Close,Volume,Year,Series,Ticker
2013-11-18,73.62000274658203,73.69000244140625,72.6500015258789,72.86000061035156,65.30540466308594,956700,2013,-0.11293938839036677,EL
2013-11-19,72.69000244140625,72.97000122070312,72.30999755859375,72.55999755859375,65.0364761352539,1113600,2013,-0.004118013343910043,EL
2013-11-20,72.88999938964844,73.91000366210938,72.5,73.30000305175781,65.69976806640625,1291000,2013,0.010198767992486646,EL
2013-11-21,73.5,74.06999969482422,73.23999786376953,74.01000213623047,66.33615112304688,1127500,2013,0.009686229881320063,EL
2013-11-22,74.08999633789062,75.0199966430664,74.05000305175781,75.01000213623047,67.23246765136719,1763300,2013,0.013511735503884292,EL
2013-11-25,74.93000030517578,75.22000122070312,74.16999816894531,74.31999969482422,66.6139907836914,935900,2013,-0.00919908028488381,EL
2013-11-26,74.44000244140625,75.45999908447266,74.43000030517578,75.06999969482422,67.46780395507812,1382000,2013,0.012817325029500504,EL
2013-11-27,74.95999908447266,75.41999816894531,74.4800033569336,75.25,67.62956237792969,1131500,2013,0.0023975646659444294,EL
2013-11-29,75.26000213623047,75.7699966430664,74.93000030517578,74.95999908447266,67.36895751953125,595700,2013,-0.0038534163054629866,EL
2013-12-02,74.98999786376953,75.29000091552734,74.44999694824219,74.87999725341797,67.29705047607422,1136800,2013,-0.001067361676721612,EL
2013-12-03,74.55000305175781,74.56999969482422,73.88999938964844,74.48999786376953,66.946533203125,1774700,2013,-0.005208508700895287,EL
2013-12-04,73.91999816894531,74.0999984741211,72.55999755859375,73.0999984741211,65.6972885131836,2279000,2013,-0.018660334302166515,EL
2013-12-05,73.01000213623047,73.29000091552734,72.62000274658203,72.7300033569336,65.36477661132812,1901600,2013,-0.0050612728375957206,EL
2013-12-06,73.41000366210938,73.95999908447266,73.33999633789062,73.70999908447266,66.24551391601562,836400,2013,0.013474188245521601,EL
2013-12-09,73.97000122070312,74.3499984741211,73.4800033569336,73.88999938964844,66.40730285644531,659800,2013,0.0024422625905626827,EL
2013-12-10,73.5999984741211,73.83000183105469,73.02999877929688,73.5999984741211,66.14666748046875,885200,2013,-0.003924799905516196,EL
2013-12-11,73.7300033569336,74.55000305175781,73.62000274658203,73.81999969482422,66.34436798095703,1406200,2013,0.002988820268937209,EL
2013-12-12,73.55999755859375,73.55999755859375,72.29000091552734,73.06999969482422,65.67030334472656,1665900,2013,-0.010160088289995373,EL
2013-12-13,73.05000305175781,73.16000366210938,71.44999694824219,72.63999938964844,65.2839126586914,1405700,2013,-0.005883796272523001,EL
2013-12-16,73.01000213623047,73.41999816894531,72.48999786376953,73.16000366210938,65.75122833251953,993900,2013,0.007158205671147222,EL
2013-12-17,73.08000183105469,73.2699966430664,72.33999633789062,72.75,65.38275146484375,1040800,2013,-0.005604106220074012,EL
2013-12-18,72.70999908447266,74.05999755859375,72.30000305175781,74.0,66.50615692138672,1459100,2013,0.01718198502470525,EL
2013-12-19,73.80000305175781,74.27999877929688,73.6500015258789,73.91000366210938,66.4252700805664,687800,2013,-0.001216230865901946,EL
2013-12-20,73.27999877929688,75.05999755859375,73.27999877929688,74.3499984741211,66.8207015991211,1200200,2013,0.005953028389272141,EL
2013-12-23,74.81999969482422,75.13999938964844,74.19999694824219,74.76000213623047,67.1891860961914,1055100,2013,0.0055145260114293215,EL
