Date,Open,High,Low,Close,Adj Close,Volume,Year,Series,Ticker
2013-11-18,50.595340728759766,50.595340728759766,50.01750946044922,50.402732849121094,27.16506004333496,1320726,2013,-0.4630916670970534,OKE
2013-11-19,50.47277069091797,50.682891845703125,49.73735046386719,49.97373580932617,26.93385124206543,960476,2013,-0.008511256772512077,OKE
2013-11-20,50.03501892089844,50.99807357788086,49.7461051940918,50.02626419067383,26.962160110473633,1259390,2013,0.001051051635868161,OKE
2013-11-21,50.1225700378418,50.56032180786133,50.1225700378418,50.36771011352539,27.146181106567383,1242599,2013,0.006825157752188726,OKE
2013-11-22,50.385223388671875,51.680965423583984,50.131324768066406,51.61092758178711,27.816232681274414,1539686,2013,0.0246830879112101,OKE
2013-11-25,51.61968231201172,52.1012077331543,51.5671501159668,51.89108657836914,27.96722984313965,1992339,2013,0.005428382901286444,OKE
2013-11-26,52.08369827270508,52.08369827270508,51.40956115722656,51.47084426879883,27.7407283782959,1490000,2013,-0.008098816583341772,OKE
2013-11-27,51.392051696777344,51.768516540527344,50.87550354003906,51.286991119384766,27.64164161682129,1223753,2013,-0.0035718875194399313,OKE
2013-11-29,51.47084426879883,51.63719177246094,50.73542404174805,50.840484619140625,27.400997161865234,855051,2013,-0.00870586697751019,OKE
2013-12-02,50.91927719116211,51.09437942504883,49.92995834350586,50.140079498291016,27.023502349853516,2207873,2013,-0.013776681548549274,OKE
2013-12-03,50.7879524230957,52.77534484863281,50.34144592285156,52.1012077331543,28.08047103881836,2956585,2013,0.039112942330014944,OKE
2013-12-04,52.09245300292969,52.70530700683594,51.584659576416016,52.6352653503418,28.36831283569336,2310899,2013,0.010250604289261611,OKE
2013-12-05,51.89108657836914,52.206268310546875,51.61092758178711,51.926109313964844,27.98609733581543,2143567,2013,-0.013473325047269724,OKE
2013-12-06,52.285064697265625,52.48643112182617,51.69847869873047,52.25004577636719,28.160686492919922,1288858,2013,0.00623842456522361,OKE
2013-12-09,52.42514419555664,52.5126953125,51.48835754394531,51.61968231201172,27.820955276489258,1249909,2013,-0.012064024664884432,OKE
