Date,Date,Open,High,Low,Close,Volume,Adj Close,Year,Series,Symbol,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis,S1orS2
11/24/2010,11/24/2010,34.88,36,33.75,36,48262,36,2010,0.032110092,TTM,2.25,0,0,2.25,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
11/26/2010,11/26/2010,34.96,37.65,34.52,35.27,51299,35.27,2010,-0.020277778,TTM,3.13,1.65,1.48,3.13,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
11/29/2010,11/29/2010,36.16,36.41,34.51,34.62,53098,34.62,2010,-0.01842926,TTM,1.9,1.14,0.76,1.9,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
11/30/2010,11/30/2010,34.86,34.86,32.63,32.71,62105,32.71,2010,-0.055170422,TTM,2.23,0.24,1.99,2.23,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/1/2010,12/1/2010,34.23,34.38,30.32,31,97911,31,2010,-0.052277591,TTM,4.06,1.67,2.39,4.06,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/2/2010,12/2/2010,31.41,31.81,30.96,31.3,52106,31.3,2010,0.009677419,TTM,0.85,0.81,0.04,0.85,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/3/2010,12/3/2010,31.31,32.5,31.21,31.65,40154,31.65,2010,0.011182109,TTM,1.29,1.2,0.09,1.29,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/6/2010,12/6/2010,30.64,30.79,30.15,30.62,53627,30.62,2010,-0.032543444,TTM,0.64,0.86,1.5,1.5,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/7/2010,12/7/2010,30.42,30.48,29.7,30.13,53508,30.13,2010,-0.016002613,TTM,0.78,0.14,0.92,0.92,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/8/2010,12/8/2010,29.95,30.04,29.36,29.67,43098,29.67,2010,-0.015267176,TTM,0.68,0.09,0.77,0.77,,,0,-1,0,0,,,,,,,,,,,,,,,,,,,
