Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis
2016-01-04,29.26,29.62,28.31,29.43,2576685.0,0.0,1.0,29.26,29.62,28.31,29.43,2576685.0,1.3100000000000023,0.0,0.0,1.3100000000000023,,0.0,0.0,0.0,0.0,0.0,,,2016-01-04,,,,,,,,,,,,,,,,
2016-01-05,29.56,30.07,28.6,28.88,1955042.0,0.0,1.0,29.56,30.07,28.6,28.88,1955042.0,1.4699999999999989,0.6400000000000006,0.8299999999999983,1.4699999999999989,,0.0,0.0,0.0,0.0,0.0,,,2016-01-05,,,,,,,,,,,,,,,,
2016-01-06,28.2,28.32,26.57,27.28,3683250.0,0.0,1.0,28.2,28.32,26.57,27.28,3683250.0,1.75,0.5599999999999987,2.3099999999999987,2.3099999999999987,,0.0,0.0,0.0,0.0,0.0,,,2016-01-06,,,,,,,,,,,,,,,,
2016-01-07,26.65,26.72,25.18,25.31,3430027.0,0.0,1.0,26.65,26.72,25.18,25.31,3430027.0,1.5399999999999991,0.5600000000000023,2.1000000000000014,2.1000000000000014,,0.0,0.0,0.0,0.0,0.0,,,2016-01-07,,,,,,,,,,,,,,,,
2016-01-08,25.49,26.37,24.96,25.34,2798113.0,0.0,1.0,25.49,26.37,24.96,25.34,2798113.0,1.4100000000000001,1.0600000000000023,0.34999999999999787,1.4100000000000001,,0.0,0.0,0.0,0.0,0.0,,,2016-01-08,,,,,,,,,,,,,,,,
2016-01-11,26.17,27.4096,25.46,25.78,2816802.0,0.0,1.0,26.17,27.4096,25.46,25.78,2816802.0,1.9496000000000002,2.069600000000001,0.120000000000001,2.069600000000001,,0.0,0.0,0.0,0.0,0.0,,,2016-01-11,,,,,,,,,,,,,,,,
2016-01-12,26.12,27.04,23.185,24.23,3856198.0,0.0,1.0,26.12,27.04,23.185,24.23,3856198.0,3.8550000000000004,1.259999999999998,2.5950000000000024,3.8550000000000004,,0.0,0.0,0.0,0.0,0.0,,,2016-01-12,,,,,,,,,,,,,,,,
2016-01-13,24.26,24.68,21.91,22.63,4988148.0,0.0,1.0,24.26,24.68,21.91,22.63,4988148.0,2.7699999999999996,0.4499999999999993,2.3200000000000003,2.7699999999999996,,0.0,0.0,0.0,0.0,0.0,,,2016-01-13,,,,,,,,,,,,,,,,
2016-01-14,22.67,24.04,22.2,23.36,3850138.0,0.0,1.0,22.67,24.04,22.2,23.36,3850138.0,1.8399999999999999,1.4100000000000001,0.4299999999999997,1.8399999999999999,,0.0,0.0,0.0,0.0,0.0,,,2016-01-14,,,,,,,,,,,,,,,,
2016-01-15,22.44,23.205,21.96,23.08,3159756.0,0.0,1.0,22.44,23.205,21.96,23.08,3159756.0,1.2449999999999974,0.15500000000000114,1.3999999999999986,1.3999999999999986,,0.0,0.0,0.0,0.0,0.0,,,2016-01-15,,,,,,,,,,,,,,,,
2016-01-19,24.01,24.54,23.14,24.01,6115446.0,0.0,1.0,24.01,24.54,23.14,24.01,6115446.0,1.3999999999999986,1.4600000000000009,0.060000000000002274,1.4600000000000009,,0.0,0.0,0.0,0.0,0.0,,,2016-01-19,,,,,,,,,,,,,,,,
2016-01-20,23.46,25.08,22.34,24.69,4690846.0,0.0,1.0,23.46,25.08,22.34,24.69,4690846.0,2.7399999999999984,1.0699999999999967,1.6700000000000017,2.7399999999999984,,0.0,0.0,0.0,0.0,0.0,,,2016-01-20,,,,,,,,,,,,,,,,
2016-01-21,24.55,26.26,24.41,24.81,4860405.0,0.0,1.0,24.55,26.26,24.41,24.81,4860405.0,1.8500000000000014,1.5700000000000003,0.28000000000000114,1.8500000000000014,,0.0,0.0,0.0,0.0,0.0,,,2016-01-21,,,,,,,,,,,,,,,,
2016-01-22,25.63,26.39,24.63,25.07,2916653.0,0.0,1.0,25.63,26.39,24.63,25.07,2916653.0,1.7600000000000016,1.5800000000000018,0.17999999999999972,1.7600000000000016,,0.0,0.0,0.0,0.0,0.0,,,2016-01-22,,,,,,,,,,,,,,,,
2016-01-25,24.8,25.3999,24.5,24.8,1975976.0,0.0,1.0,24.8,25.3999,24.5,24.8,1975976.0,0.8998999999999988,0.3298999999999985,0.5700000000000003,0.8998999999999988,,0.0,0.0,0.0,0.0,0.0,,,2016-01-25,,,,,,,,,,,,,,,,
2016-01-26,24.96,26.33,24.52,26.1,1865983.0,0.0,1.0,24.96,26.33,24.52,26.1,1865983.0,1.8099999999999987,1.5299999999999976,0.28000000000000114,1.8099999999999987,,0.0,0.0,1.0,0.0,0.0,,,2016-01-26,,,,,,,,,,,,,,,,
2016-01-27,25.98,27.79,25.74,26.67,2498818.0,0.0,1.0,25.98,27.79,25.74,26.67,2498818.0,2.0500000000000007,1.6899999999999977,0.360000000000003,2.0500000000000007,,0.0,0.0,1.0,0.0,0.0,,,2016-01-27,,,,,,,,,,,,,,,,
2016-01-28,28.16,28.46,25.38,25.58,2578978.0,0.0,1.0,28.16,28.46,25.38,25.58,2578978.0,3.080000000000002,1.7899999999999991,1.2900000000000027,3.080000000000002,,0.0,0.0,0.0,0.0,0.0,,,2016-01-28,,,,,,,,,,,,,,,,
2016-01-29,25.78,27.2,25.64,27.12,2185062.0,0.0,1.0,25.78,27.2,25.64,27.12,2185062.0,1.5599999999999987,1.620000000000001,0.060000000000002274,1.620000000000001,,0.0,0.0,1.0,0.0,0.0,,,2016-01-29,,,,,,,,,,,,,,,,
2016-02-01,26.87,27.58,26.18,27.35,1923626.0,0.0,1.0,26.87,27.58,26.18,27.35,1923626.0,1.3999999999999986,0.4599999999999973,0.9400000000000013,1.3999999999999986,1.960225,0.0,0.0,1.0,0.0,0.0,,,2016-02-01,,,,,,,,,,,,,,,,
2016-02-02,26.71,26.84,25.96,26.08,1425202.0,0.0,1.0,26.71,26.84,25.96,26.08,1425202.0,0.879999999999999,0.5100000000000016,1.3900000000000006,1.3900000000000006,1.964225,0.0,0.0,0.0,0.0,0.0,,,2016-02-02,,,,,,,,,,,,,,,,
2016-02-03,26.41,26.53,24.35,25.57,2465954.0,0.0,1.0,26.41,26.53,24.35,25.57,2465954.0,2.1799999999999997,0.45000000000000284,1.7299999999999969,2.1799999999999997,1.9997250000000002,1.97501375,0.0,0.0,0.0,0.0,,,2016-02-03,,,,,,,,,,,,,,,,
2016-02-04,25.47,26.8,25.25,26.47,1777048.0,0.0,1.0,25.47,26.8,25.25,26.47,1777048.0,1.5500000000000007,1.2300000000000004,0.3200000000000003,1.5500000000000007,1.961725,1.9772387500000002,0.0,0.0,0.0,0.0,,,2016-02-04,,,,,,,,,,,,,,,,
2016-02-05,26.41,26.75,25.62,25.91,1775076.0,0.0,1.0,26.41,26.75,25.62,25.91,1775076.0,1.129999999999999,0.28000000000000114,0.8499999999999979,1.129999999999999,1.9132249999999995,1.9201387499999996,0.0,0.0,0.0,0.0,,,2016-02-05,,,,,,,,,,,,,,,,
2016-02-08,25.36,25.47,23.48,24.15,2345053.0,0.0,1.0,25.36,25.47,23.48,24.15,2345053.0,1.9899999999999984,0.4400000000000013,2.4299999999999997,2.4299999999999997,1.9642249999999997,1.9390637499999996,0.0,-1.0,0.0,0.0,,,2016-02-08,,,,,,,,,,,,,,,,
2016-02-09,23.64,24.74,23.53,24.21,1452966.0,0.0,1.0,23.64,24.74,23.53,24.21,1452966.0,1.2099999999999973,0.5899999999999999,0.6199999999999974,1.2099999999999973,1.9212449999999994,1.9265137499999994,0.0,0.0,0.0,0.0,,,2016-02-09,,,,,,,,,,,,,,,,
2016-02-10,24.35,25.69,24.28,24.92,1394077.0,0.0,1.0,24.35,25.69,24.28,24.92,1394077.0,1.4100000000000001,1.4800000000000004,0.07000000000000028,1.4800000000000004,1.802494999999999,1.8991827499999991,0.0,0.0,0.0,0.0,,,2016-02-10,,,,,,,,,,,,,,,,
2016-02-11,24.28,24.86,23.34,23.39,1774577.0,0.0,1.0,24.28,24.86,23.34,23.39,1774577.0,1.5199999999999996,0.060000000000002274,1.5800000000000018,1.5800000000000018,1.7429949999999992,1.7913702499999993,0.0,-1.0,0.0,0.0,,,2016-02-11,,,,,,,,,,,,,,,,
2016-02-12,23.7,24.03,22.88,24.0,1768363.0,0.0,1.0,23.7,24.03,22.88,24.0,1768363.0,1.1500000000000021,0.6400000000000006,0.5100000000000016,1.1500000000000021,1.7084949999999992,1.713345249999999,0.0,0.0,0.0,0.0,,,2016-02-12,,,,,,,,,,,,,,,,
2016-02-16,22.6,23.6,21.39,23.58,3760151.0,0.0,1.0,22.6,23.6,21.39,23.58,3760151.0,2.210000000000001,0.3999999999999986,2.6099999999999994,2.6099999999999994,1.7689949999999992,1.7535702499999992,0.0,0.0,0.0,0.0,,,2016-02-16,,,,,,,,,,,,,,,,
2016-02-17,23.77,25.69,23.675,25.05,1532329.0,0.0,1.0,23.77,25.69,23.675,25.05,1532329.0,2.0150000000000006,2.110000000000003,0.09500000000000242,2.110000000000003,1.8014949999999996,1.7860452499999995,0.0,0.0,0.0,0.0,,,2016-02-17,,,,,,,,,,,,,,,,
2016-02-18,25.13,25.35,24.41,25.04,1423832.0,0.0,1.0,25.13,25.35,24.41,25.04,1423832.0,0.9400000000000013,0.3000000000000007,0.6400000000000006,0.9400000000000013,1.711495,1.7584202499999997,0.0,0.0,0.0,0.0,,,2016-02-18,,,,,,,,,,,,,,,,
2016-02-19,24.82,24.89,23.46,23.82,2265706.0,0.0,1.0,24.82,24.89,23.46,23.82,2265706.0,1.4299999999999997,0.14999999999999858,1.5799999999999983,1.5799999999999983,1.697995,1.70492025,0.0,0.0,0.0,0.0,,,2016-02-19,,,,,,,,,,,,,,,,
2016-02-22,24.06,25.64,23.9,25.5,2617955.0,0.0,1.0,24.06,25.64,23.9,25.5,2617955.0,1.740000000000002,1.8200000000000003,0.0799999999999983,1.8200000000000003,1.7009949999999996,1.70409525,0.0,1.0,0.0,0.0,,,2016-02-22,,,,,,,,,,,,,,,,
2016-02-23,24.43,26.1,23.17,25.1,5244253.0,0.0,1.0,24.43,26.1,23.17,25.1,5244253.0,2.9299999999999997,0.6000000000000014,2.3299999999999983,2.9299999999999997,1.8024999999999998,1.7624452499999996,0.0,0.0,0.0,0.0,,,2016-02-23,,,,,,,,,,,,,,,,
2016-02-24,24.7,24.895,24.04,24.79,3363942.0,0.0,1.0,24.7,24.895,24.04,24.79,3363942.0,0.8550000000000004,0.20500000000000185,1.0600000000000023,1.0600000000000023,1.765,1.765375,0.0,0.0,0.0,0.0,,,2016-02-24,,,,,,,,,,,,,,,,
2016-02-25,24.95,25.85,24.4,24.81,2204230.0,0.0,1.0,24.95,25.85,24.4,24.81,2204230.0,1.4500000000000028,1.0600000000000023,0.39000000000000057,1.4500000000000028,1.735,1.74925,0.0,0.0,0.0,0.0,,,2016-02-25,,,,,,,,,,,,,,,,
2016-02-26,25.02,26.29,24.91,25.68,2801042.0,0.0,1.0,25.02,26.29,24.91,25.68,2801042.0,1.379999999999999,1.4800000000000004,0.10000000000000142,1.4800000000000004,1.6550000000000005,1.7222500000000003,0.0,1.0,0.0,0.0,,,2016-02-26,,,,,,,,,,,,,,,,
2016-02-29,25.72,25.81,24.8,24.82,1861079.0,0.0,1.0,25.72,25.81,24.8,24.82,1861079.0,1.009999999999998,0.129999999999999,0.879999999999999,1.009999999999998,1.6245000000000005,1.6227500000000004,0.0,0.0,0.0,0.0,,,2016-02-29,,,,,,,,,,,,,,,,
